"zipcode","urbanity","region"
46400,3,"sud-ouest"
45420,3,"reste"
15600,3,"sud-est"
15210,3,"sud-est"
15250,3,"sud-est"
25340,3,"est"
25560,3,"est"
25270,3,"est"
25640,3,"est"
25420,1,"est"
25800,3,"est"
25870,3,"est"
25630,1,"est"
25370,3,"est"
25840,3,"est"
25290,3,"est"
25230,1,"est"
37100,1,"reste"
39120,3,"est"
39190,3,"est"
39380,3,"est"
39130,3,"est"
37170,1,"reste"
37110,2,"reste"
37130,3,"reste"
37260,2,"reste"
37160,3,"reste"
43330,2,"sud-est"
71320,3,"reste"
71290,3,"reste"
71110,3,"reste"
71590,1,"reste"
71200,3,"reste"
71300,3,"reste"
71150,3,"reste"
71380,1,"reste"
71410,3,"reste"
81170,3,"sud-ouest"
81470,3,"sud-ouest"
81000,1,"sud-ouest"
81120,3,"sud-ouest"
81300,2,"sud-ouest"
81150,1,"sud-ouest"
81230,3,"sud-ouest"
81440,3,"sud-ouest"
82100,3,"sud-ouest"
81630,3,"sud-ouest"
82200,2,"sud-ouest"
81140,3,"sud-ouest"
81530,3,"sud-ouest"
82130,3,"sud-ouest"
82120,3,"sud-ouest"
81540,3,"sud-ouest"
92340,1,"idf"
92320,1,"idf"
45590,1,"reste"
45460,3,"reste"
46230,3,"sud-ouest"
45360,3,"reste"
45410,3,"reste"
45760,3,"reste"
46350,3,"sud-ouest"
45530,3,"reste"
45720,3,"reste"
45740,3,"reste"
45430,1,"reste"
55190,3,"est"
57175,2,"est"
55140,3,"est"
15140,3,"sud-est"
15160,3,"sud-est"
25115,1,"est"
25170,3,"est"
25110,3,"est"
25120,3,"est"
44640,3,"reste"
44118,3,"reste"
43810,3,"sud-est"
43800,3,"sud-est"
43410,3,"sud-est"
44530,3,"reste"
43370,3,"sud-est"
43440,3,"sud-est"
43130,3,"sud-est"
43150,3,"sud-est"
39410,3,"est"
39600,3,"est"
39320,3,"est"
44116,3,"reste"
63340,3,"sud-est"
63119,1,"sud-est"
63160,3,"sud-est"
92110,1,"idf"
92430,1,"idf"
92190,1,"idf"
92200,1,"idf"
92330,1,"idf"
88140,3,"est"
88560,3,"est"
88440,3,"est"
54580,3,"est"
54950,3,"est"
54650,2,"est"
54880,2,"est"
54750,3,"est"
55700,3,"est"
54970,3,"est"
54520,1,"est"
54450,3,"est"
54560,3,"est"
54820,3,"est"
54960,3,"est"
54680,3,"est"
54670,2,"est"
9330,2,"idf"
10150,3,"est"
10800,3,"est"
10300,3,"est"
10510,3,"est"
9220,3,"idf"
8160,3,"sud-ouest"
8200,2,"sud-ouest"
8440,3,"sud-est"
8500,3,"reste"
9130,3,"idf"
9390,3,"idf"
8700,1,"sud-ouest"
9120,3,"idf"
9350,3,"idf"
8430,3,"sud-est"
9240,3,"idf"
57635,3,"est"
57800,2,"est"
57850,3,"est"
57925,3,"est"
57245,3,"est"
57540,2,"est"
57450,3,"est"
57830,3,"est"
57990,3,"est"
57400,2,"est"
58300,2,"reste"
58410,3,"reste"
58700,3,"reste"
57940,3,"est"
57770,3,"est"
57680,2,"est"
65590,3,"sud-ouest"
65600,1,"sud-ouest"
65800,1,"sud-ouest"
65690,3,"sud-ouest"
63320,3,"sud-est"
63190,3,"sud-est"
61000,2,"reste"
61170,3,"reste"
61120,3,"reste"
63113,3,"sud-est"
54830,3,"est"
58110,3,"reste"
58000,3,"reste"
57155,1,"est"
58150,3,"reste"
65250,3,"sud-ouest"
65190,3,"sud-ouest"
21300,1,"est"
21690,3,"est"
21520,3,"est"
21430,3,"est"
21270,3,"est"
21140,3,"est"
21850,1,"est"
21550,3,"est"
21380,3,"est"
32480,3,"sud-ouest"
32360,3,"sud-ouest"
32720,3,"sud-ouest"
32230,3,"sud-ouest"
32260,3,"sud-ouest"
32700,3,"sud-ouest"
32410,3,"sud-ouest"
8000,1,"nord"
8350,3,"sud-est"
9320,3,"idf"
18320,3,"reste"
18390,3,"reste"
18250,3,"reste"
18600,3,"reste"
18370,3,"reste"
28150,3,"reste"
28160,3,"reste"
28350,2,"reste"
28250,3,"reste"
31770,1,"sud-ouest"
63290,3,"sud-est"
63310,3,"sud-est"
63130,1,"sud-est"
70110,3,"est"
89250,3,"reste"
89190,3,"reste"
89230,3,"reste"
89170,3,"reste"
89150,3,"reste"
88240,3,"est"
89200,3,"reste"
89380,3,"reste"
88650,3,"est"
88540,3,"est"
88420,3,"est"
89390,3,"reste"
88310,3,"est"
88490,3,"est"
89110,3,"reste"
6430,3,"sud-ouest"
5300,3,"reste"
6540,3,"sud-ouest"
6790,1,"est"
6420,3,"sud-ouest"
6450,3,"sud-ouest"
6410,1,"sud-ouest"
6850,3,"est"
6560,1,"sud-ouest"
6640,1,"sud-est"
13002,1,"sud-est"
13006,1,"sud-est"
62610,2,"nord"
62690,3,"nord"
75010,1,"idf"
75015,1,"idf"
13013,1,"sud-est"
13500,1,"sud-est"
13550,3,"sud-est"
13124,1,"sud-est"
13114,1,"sud-est"
13310,2,"sud-est"
13210,2,"sud-est"
13109,1,"sud-est"
13122,1,"sud-est"
13400,1,"sud-est"
13390,1,"sud-est"
6610,1,"sud-est"
6520,2,"sud-ouest"
6250,2,"nord"
40260,3,"sud-ouest"
40150,2,"sud-ouest"
40220,2,"sud-ouest"
40530,3,"sud-ouest"
47150,3,"sud-ouest"
47160,3,"sud-ouest"
47190,3,"sud-ouest"
74920,3,"sud-est"
74740,3,"sud-est"
74660,3,"sud-est"
74600,1,"sud-est"
13260,1,"sud-est"
13350,3,"sud-est"
13120,2,"sud-est"
23100,3,"sud-ouest"
23130,3,"sud-ouest"
23150,3,"sud-ouest"
23240,3,"sud-ouest"
26760,1,"sud-est"
20222,3,"reste"
20242,3,"reste"
20235,3,"reste"
20220,3,"reste"
20238,3,"reste"
20215,3,"reste"
20224,3,"reste"
20226,3,"reste"
20252,3,"reste"
47340,3,"sud-ouest"
47360,3,"sud-ouest"
47250,3,"sud-ouest"
4360,3,"sud-est"
4700,3,"sud-ouest"
4860,2,"sud-ouest"
4330,3,"sud-est"
4410,3,"reste"
4260,3,"sud-est"
4180,2,"reste"
6240,1,"nord"
6140,1,"reste"
33560,2,"sud-ouest"
33830,3,"sud-ouest"
33810,1,"sud-ouest"
40110,3,"sud-ouest"
40320,3,"sud-ouest"
40360,3,"sud-ouest"
40120,3,"sud-ouest"
40630,3,"sud-ouest"
40180,3,"sud-ouest"
13860,1,"sud-est"
13750,3,"sud-est"
13840,1,"sud-est"
13670,3,"sud-est"
13880,2,"sud-est"
16300,3,"sud-ouest"
13820,1,"sud-est"
13990,3,"sud-est"
13710,1,"sud-est"
16420,3,"sud-ouest"
16100,2,"sud-ouest"
16160,1,"sud-ouest"
16320,3,"sud-ouest"
16330,3,"sud-ouest"
16270,3,"sud-ouest"
47370,3,"sud-ouest"
47420,3,"sud-ouest"
47330,3,"sud-ouest"
47480,3,"sud-ouest"
59294,3,"nord"
59380,3,"nord"
59490,2,"nord"
59460,2,"nord"
59495,1,"nord"
59777,1,"nord"
59390,1,"nord"
59550,3,"nord"
59370,1,"nord"
59310,2,"nord"
4100,2,"reste"
59284,3,"nord"
59760,1,"nord"
59820,1,"nord"
59285,3,"nord"
59491,1,"nord"
59300,1,"nord"
59580,2,"nord"
62114,1,"nord"
62110,1,"nord"
62118,2,"nord"
62100,1,"nord"
64990,2,"sud-ouest"
64600,1,"sud-ouest"
75020,1,"idf"
75116,1,"idf"
94410,1,"idf"
77420,1,"idf"
77190,1,"idf"
77360,1,"idf"
77141,3,"idf"
77640,2,"idf"
77154,3,"idf"
77127,2,"idf"
77650,3,"idf"
77440,3,"idf"
77520,3,"idf"
77176,2,"idf"
83190,1,"sud-est"
83390,3,"sud-est"
64570,3,"sud-ouest"
64210,3,"sud-ouest"
64310,3,"sud-ouest"
64290,3,"sud-ouest"
64121,2,"sud-ouest"
64330,3,"sud-ouest"
75001,1,"idf"
75008,1,"idf"
16200,3,"sud-ouest"
23360,3,"sud-ouest"
62190,3,"nord"
62162,3,"nord"
62430,1,"nord"
62218,1,"nord"
62140,2,"nord"
62155,2,"nord"
62390,3,"nord"
62270,3,"nord"
62460,3,"nord"
62126,1,"nord"
62147,3,"nord"
62650,3,"nord"
62380,3,"nord"
62200,1,"nord"
59261,2,"nord"
59225,3,"nord"
59210,1,"nord"
59278,2,"nord"
59194,1,"nord"
59277,2,"nord"
59230,2,"nord"
59265,1,"nord"
59215,2,"nord"
69930,3,"sud-est"
74140,2,"sud-est"
74150,3,"sud-est"
73200,2,"sud-est"
74430,3,"sud-est"
73500,3,"sud-est"
73540,3,"sud-est"
73520,3,"sud-est"
14117,3,"reste"
14112,1,"reste"
14100,2,"reste"
14530,2,"reste"
14120,1,"reste"
14590,3,"reste"
14240,3,"reste"
14570,3,"reste"
14460,1,"reste"
44800,1,"reste"
44670,3,"reste"
44830,1,"reste"
44700,1,"reste"
44850,3,"reste"
44770,3,"reste"
53190,3,"reste"
53940,3,"reste"
53340,3,"reste"
53240,3,"reste"
53000,2,"reste"
53230,3,"reste"
60350,3,"nord"
60590,3,"nord"
1750,3,"sud-ouest"
1570,3,"sud-est"
1990,3,"sud-ouest"
7450,3,"sud-est"
7290,3,"reste"
7140,3,"reste"
7470,3,"sud-est"
7660,3,"reste"
7530,3,"idf"
7560,3,"idf"
7320,3,"sud-est"
7240,3,"reste"
14970,1,"reste"
38680,3,"sud-est"
38960,3,"sud-est"
38840,3,"sud-est"
38920,2,"sud-est"
38420,1,"sud-est"
38620,3,"sud-est"
38480,3,"sud-est"
42670,3,"sud-est"
59121,2,"nord"
59167,1,"nord"
59126,1,"nord"
59156,2,"nord"
59127,3,"nord"
59144,3,"nord"
59154,1,"nord"
59124,2,"nord"
59147,2,"nord"
59153,1,"nord"
59177,3,"nord"
69660,1,"sud-est"
69570,1,"sud-est"
69210,2,"sud-est"
69290,2,"sud-est"
69520,1,"sud-est"
69420,3,"sud-est"
69280,1,"sud-est"
69230,1,"sud-est"
69440,3,"sud-est"
69160,1,"sud-est"
69670,2,"sud-est"
60260,2,"nord"
60150,2,"nord"
60320,2,"nord"
60460,2,"nord"
60220,3,"nord"
60123,3,"nord"
60270,2,"nord"
63750,3,"sud-est"
63980,3,"sud-est"
63740,3,"sud-est"
63510,2,"sud-est"
60113,3,"nord"
61800,3,"reste"
61200,2,"reste"
60180,1,"nord"
60400,2,"nord"
60560,2,"nord"
61220,3,"reste"
60153,3,"nord"
60149,3,"nord"
22460,3,"reste"
22230,3,"reste"
22500,2,"reste"
22150,3,"reste"
22170,3,"reste"
22110,3,"reste"
22350,3,"reste"
38560,2,"sud-est"
42123,3,"sud-est"
42450,2,"sud-est"
42390,1,"sud-est"
42240,1,"sud-est"
42330,2,"sud-est"
42500,1,"sud-est"
49700,2,"reste"
49730,3,"reste"
49800,3,"reste"
56140,3,"reste"
56270,1,"reste"
56880,1,"reste"
56800,2,"reste"
56320,3,"reste"
56400,3,"reste"
56290,1,"reste"
56200,3,"reste"
56160,3,"reste"
56150,3,"reste"
56480,3,"reste"
56170,3,"reste"
22370,3,"reste"
22260,3,"reste"
27120,3,"reste"
27140,3,"reste"
38240,1,"sud-est"
38170,1,"sud-est"
38110,2,"sud-est"
49130,1,"reste"
49420,3,"reste"
49190,3,"reste"
49170,3,"reste"
49080,1,"reste"
50340,3,"reste"
49500,3,"reste"
49530,3,"reste"
50260,3,"reste"
50500,2,"reste"
49280,2,"reste"
11200,3,"sud-est"
11350,3,"sud-est"
11290,3,"sud-est"
11800,3,"sud-est"
12140,3,"sud-ouest"
12240,3,"sud-ouest"
3210,3,"sud-ouest"
3420,3,"sud-est"
3370,3,"sud-ouest"
3300,2,"sud-ouest"
3630,2,"reste"
3290,3,"sud-ouest"
3100,2,"sud-ouest"
3170,3,"sud-ouest"
3330,3,"sud-ouest"
3160,3,"sud-ouest"
3250,3,"sud-ouest"
12440,3,"sud-ouest"
12600,3,"sud-ouest"
12540,3,"sud-ouest"
12380,3,"sud-ouest"
12550,3,"sud-ouest"
24100,2,"sud-ouest"
26320,1,"sud-est"
26530,3,"sud-est"
26210,3,"sud-est"
26380,3,"sud-est"
26100,2,"sud-est"
26420,3,"sud-est"
26330,3,"sud-est"
24140,3,"sud-ouest"
61790,3,"reste"
61410,3,"reste"
60140,3,"nord"
63840,3,"sud-est"
63530,2,"sud-est"
63660,3,"sud-est"
63700,3,"sud-est"
63470,3,"sud-est"
70210,3,"est"
