"Postal.Code","Region","Pop.Municipality"
4968034,"Chubu",63088
4968044,"Chubu",63088
4960945,"Chubu",63088
4968011,"Chubu",63088
4960000,"Chubu",63088
4968046,"Chubu",63088
4968003,"Chubu",63088
4968041,"Chubu",63088
4968038,"Chubu",63088
4960924,"Chubu",63088
4968035,"Chubu",63088
4968043,"Chubu",63088
4960941,"Chubu",63088
4960947,"Chubu",63088
4968037,"Chubu",63088
4960912,"Chubu",63088
4968015,"Chubu",63088
4960938,"Chubu",63088
4960942,"Chubu",63088
4968040,"Chubu",63088
4960943,"Chubu",63088
4968010,"Chubu",63088
4960902,"Chubu",63088
4968007,"Chubu",63088
4968014,"Chubu",63088
4960931,"Chubu",63088
4968013,"Chubu",63088
4960921,"Chubu",63088
4960922,"Chubu",63088
4968017,"Chubu",63088
4968005,"Chubu",63088
4968030,"Chubu",63088
4960904,"Chubu",63088
4960907,"Chubu",63088
4960936,"Chubu",63088
4960934,"Chubu",63088
4960923,"Chubu",63088
4968042,"Chubu",63088
4968039,"Chubu",63088
4968012,"Chubu",63088
4960937,"Chubu",63088
4968006,"Chubu",63088
4968045,"Chubu",63088
4968049,"Chubu",63088
4960935,"Chubu",63088
4968016,"Chubu",63088
4968032,"Chubu",63088
4968001,"Chubu",63088
4960932,"Chubu",63088
4968020,"Chubu",63088
4968008,"Chubu",63088
4960903,"Chubu",63088
4968031,"Chubu",63088
4960939,"Chubu",63088
4968004,"Chubu",63088
4968002,"Chubu",63088
4960901,"Chubu",63088
4960913,"Chubu",63088
4968048,"Chubu",63088
4968009,"Chubu",63088
4960946,"Chubu",63088
4960944,"Chubu",63088
4960911,"Chubu",63088
4960914,"Chubu",63088
4960915,"Chubu",63088
4968018,"Chubu",63088
4960908,"Chubu",63088
4968036,"Chubu",63088
4968047,"Chubu",63088
4968033,"Chubu",63088
4960906,"Chubu",63088
4960908,"Chubu",63088
4960909,"Chubu",63088
4960905,"Chubu",63088
4968019,"Chubu",63088
4960933,"Chubu",63088
4901225,"Chubu",86898
4901104,"Chubu",86898
4901207,"Chubu",86898
4901205,"Chubu",86898
4901206,"Chubu",86898
4970006,"Chubu",86898
4901111,"Chubu",86898
4970012,"Chubu",86898
4901201,"Chubu",86898
4901101,"Chubu",86898
4901203,"Chubu",86898
4901204,"Chubu",86898
4901112,"Chubu",86898
4901106,"Chubu",86898
4970011,"Chubu",86898
4901211,"Chubu",86898
4901114,"Chubu",86898
4901212,"Chubu",86898
4901226,"Chubu",86898
4901224,"Chubu",86898
4970005,"Chubu",86898
4970014,"Chubu",86898
4901213,"Chubu",86898
4901102,"Chubu",86898
4901222,"Chubu",86898
4901214,"Chubu",86898
4970015,"Chubu",86898
4970016,"Chubu",86898
4901223,"Chubu",86898
4901116,"Chubu",86898
4901105,"Chubu",86898
4901113,"Chubu",86898
4970004,"Chubu",86898
4970003,"Chubu",86898
4970013,"Chubu",86898
4970002,"Chubu",86898
4901200,"Chubu",86898
4970001,"Chubu",86898
4901103,"Chubu",86898
4901115,"Chubu",86898
4901202,"Chubu",86898
4901107,"Chubu",86898
4901221,"Chubu",86898
4460011,"Chubu",184140
4460042,"Chubu",184140
4441211,"Chubu",184140
4441162,"Chubu",184140
4441222,"Chubu",184140
4441223,"Chubu",184140
4441152,"Chubu",184140
4460074,"Chubu",184140
4460017,"Chubu",184140
4460054,"Chubu",184140
4460021,"Chubu",184140
4460024,"Chubu",184140
4460004,"Chubu",184140
4460059,"Chubu",184140
4441224,"Chubu",184140
4460071,"Chubu",184140
4460057,"Chubu",184140
4441214,"Chubu",184140
4441215,"Chubu",184140
4460003,"Chubu",184140
4460061,"Chubu",184140
4460016,"Chubu",184140
4460062,"Chubu",184140
4460066,"Chubu",184140
4460056,"Chubu",184140
4441201,"Chubu",184140
4441221,"Chubu",184140
4441212,"Chubu",184140
4441163,"Chubu",184140
4460008,"Chubu",184140
4460005,"Chubu",184140
4460012,"Chubu",184140
4460075,"Chubu",184140
4460036,"Chubu",184140
4460026,"Chubu",184140
4441166,"Chubu",184140
4441155,"Chubu",184140
4460014,"Chubu",184140
4460064,"Chubu",184140
4460001,"Chubu",184140
4441225,"Chubu",184140
4460007,"Chubu",184140
4460018,"Chubu",184140
4460027,"Chubu",184140
4460035,"Chubu",184140
4460076,"Chubu",184140
4460055,"Chubu",184140
4460051,"Chubu",184140
4460043,"Chubu",184140
4460019,"Chubu",184140
4460025,"Chubu",184140
4460038,"Chubu",184140
4460065,"Chubu",184140
4441206,"Chubu",184140
4441204,"Chubu",184140
4460000,"Chubu",184140
4460037,"Chubu",184140
4460046,"Chubu",184140
4460032,"Chubu",184140
4441202,"Chubu",184140
4441154,"Chubu",184140
4441165,"Chubu",184140
4460045,"Chubu",184140
4441151,"Chubu",184140
4460052,"Chubu",184140
4460073,"Chubu",184140
4441203,"Chubu",184140
4460053,"Chubu",184140
4460063,"Chubu",184140
4460058,"Chubu",184140
4460031,"Chubu",184140
4460023,"Chubu",184140
4460015,"Chubu",184140
4441205,"Chubu",184140
4441161,"Chubu",184140
4460072,"Chubu",184140
4460034,"Chubu",184140
4460033,"Chubu",184140
4460039,"Chubu",184140
4441153,"Chubu",184140
4441164,"Chubu",184140
4460041,"Chubu",184140
4441213,"Chubu",184140
4460022,"Chubu",184140
4460006,"Chubu",184140
4460044,"Chubu",184140
4460002,"Chubu",184140
4460013,"Chubu",184140
4720005,"Chubu",70501
4720031,"Chubu",70501
4720011,"Chubu",70501
4720054,"Chubu",70501
4720027,"Chubu",70501
4720052,"Chubu",70501
4720041,"Chubu",70501
4720007,"Chubu",70501
4720057,"Chubu",70501
