CODGEO;LIBGEO;AU2010;LIBAU2010;CATAEU2010;DEP;REG
01001;L'Abergement-Clémencia;997;Multipolarisé des grands pôl;120;01;84
01002;L'Abergement-de-Varey;002;Lyon;112;01;84
01004;Ambérieu-en-Buge;002;Lyon;112;01;84
01005;Ambérieux-en-Dombe;002;Lyon;112;01;84
01006;Ambléo;998;Autre multipolaris�;300;01;84
01007;Ambronay;002;Lyon;112;01;84
01008;Ambutrix;002;Lyon;112;01;84
01009;Andert-et-Condon;294;Belley;212;01;84
01010;Anglefort;998;Autre multipolaris�;300;01;84
01011;Apremont;165;Oyonnax;112;01;84
01012;Aranc;998;Autre multipolaris�;300;01;84
01013;Arandas;002;Lyon;112;01;84
01014;Arbent;165;Oyonnax;111;01;84
01015;Arboys en Bugey;294;Belley;212;01;84
01016;Arbigny;997;Multipolarisé des grands pôl;120;01;84
01017;Argis;002;Lyon;112;01;84
01019;Armix;997;Multipolarisé des grands pôl;120;01;84
01021;Ars-sur-Formans;002;Lyon;112;01;84
01022;Artemare;998;Autre multipolaris�;300;01;84
01023;Asnières-sur-Saô;088;Mâco;112;01;84
01024;Attignat;071;Bourg-en-Bresse;112;01;84
01025;Bâgé-Dommart;088;Mâco;112;01;84
01026;Bâgé-le-Châ;088;Mâco;112;01;84
01027;Balan;002;Lyon;112;01;84
01028;Baneins;002;Lyon;112;01;84
01029;Beaupont;071;Bourg-en-Bresse;112;01;84
01030;Beauregard;002;Lyon;111;01;84
01031;Bellignat;165;Oyonnax;111;01;84
01032;Béligneu;002;Lyon;112;01;84
01033;Valserhôn;340;Valserhôn;221;01;84
01034;Belley;294;Belley;211;01;84
01035;Belleydoux;165;Oyonnax;112;01;84
01036;Valromey-sur-Séra;998;Autre multipolaris�;300;01;84
01037;Bénonce;002;Lyon;112;01;84
01038;Bén;071;Bourg-en-Bresse;112;01;84
01039;Béo;998;Autre multipolaris�;300;01;84
01040;Bérézi;071;Bourg-en-Bresse;112;01;84
01041;Bettant;002;Lyon;112;01;84
01042;Bey;088;Mâco;112;01;84
01043;Beynost;002;Lyon;111;01;84
01044;Billiat;998;Autre multipolaris�;300;01;84
01045;Birieux;002;Lyon;112;01;84
01046;Biziat;997;Multipolarisé des grands pôl;120;01;84
01047;Blyes;002;Lyon;112;01;84
01049;La Boisse;002;Lyon;111;01;84
01050;Boissey;088;Mâco;112;01;84
01051;Bolozon;997;Multipolarisé des grands pôl;120;01;84
01052;Bouligneux;002;Lyon;112;01;84
01053;Bourg-en-Bresse;071;Bourg-en-Bresse;111;01;84
01054;Bourg-Saint-Christophe;002;Lyon;112;01;84
01056;Boyeux-Saint-Jérô;002;Lyon;112;01;84
01057;Boz;088;Mâco;112;01;84
01058;Brégnier-Cordo;997;Multipolarisé des grands pôl;120;01;84
01060;Bréno;998;Autre multipolaris�;300;01;84
01061;Brens;294;Belley;211;01;84
01062;Bressolles;002;Lyon;112;01;84
01063;Brion;545;Montréal-la-Clus;221;01;84
01064;Briord;002;Lyon;112;01;84
01065;Buellas;071;Bourg-en-Bresse;112;01;84
01066;La Burbanche;997;Multipolarisé des grands pôl;120;01;84
01067;Ceignes;998;Autre multipolaris�;300;01;84
01068;Cerdon;997;Multipolarisé des grands pôl;120;01;84
01069;Certines;071;Bourg-en-Bresse;112;01;84
01071;Cessy;037;Genève (SUI) - Annemasse (partie français;112;01;84
01072;Ceyzéria;071;Bourg-en-Bresse;112;01;84
01073;Ceyzérie;998;Autre multipolaris�;300;01;84
01074;Chalamont;002;Lyon;112;01;84
01075;Chaleins;002;Lyon;112;01;84
01076;Chaley;997;Multipolarisé des grands pôl;120;01;84
01077;Challes-la-Montagne;998;Autre multipolaris�;300;01;84
01078;Challex;037;Genève (SUI) - Annemasse (partie français;112;01;84
01079;Champagne-en-Valromey;000;Communes isolées hors influence des pôl;400;01;84
01080;Champdor-Corcelles;540;Plateau d'Hauteville;222;01;84
01081;Champfromier;000;Communes isolées hors influence des pôl;400;01;84
01082;Chanay;998;Autre multipolaris�;300;01;84
01083;Chaneins;002;Lyon;112;01;84
01084;Chanoz-Châtena;997;Multipolarisé des grands pôl;120;01;84
01085;La Chapelle-du-Châtelar;002;Lyon;112;01;84
01087;Charix;998;Autre multipolaris�;300;01;84
01088;Charnoz-sur-Ain;002;Lyon;112;01;84
01089;Château-Gaillar;002;Lyon;112;01;84
01090;Châtena;002;Lyon;112;01;84
01092;Châtillon-la-Palu;002;Lyon;112;01;84
01093;Châtillon-sur-Chalaronn;997;Multipolarisé des grands pôl;120;01;84
01094;Chavannes-sur-Reyssouze;997;Multipolarisé des grands pôl;120;01;84
01095;Nivigne et Suran;071;Bourg-en-Bresse;112;01;84
01096;Chaveyriat;071;Bourg-en-Bresse;112;01;84
01098;Chazey-Bons;294;Belley;212;01;84
01099;Chazey-sur-Ain;002;Lyon;112;01;84
