"POA_CODE_2016","Region.POA","Rural.urban.POA"
800,"Western_Australia","Rural"
810,"Western_Australia","Rural"
812,"Western_Australia","Rural"
815,"Western_Australia","Rural"
820,"Western_Australia","Rural"
822,"Western_Australia","Rural"
828,"Western_Australia","Rural"
829,"Western_Australia","Rural"
830,"Western_Australia","Rural"
832,"Western_Australia","Rural"
834,"Western_Australia","Rural"
835,"Western_Australia","Rural"
836,"Western_Australia","Rural"
837,"Western_Australia","Rural"
838,"Western_Australia","Rural"
839,"Western_Australia","Rural"
840,"Western_Australia","Rural"
841,"Western_Australia","Rural"
845,"Western_Australia","Rural"
846,"Western_Australia","Rural"
847,"Western_Australia","Rural"
850,"Western_Australia","Rural"
852,"Western_Australia","Rural"
853,"Western_Australia","Rural"
854,"Western_Australia","Rural"
860,"Western_Australia","Rural"
862,"Western_Australia","Rural"
870,"Western_Australia","Rural"
872,"Western_Australia","Rural"
873,"Western_Australia","Rural"
874,"Western_Australia","Rural"
875,"Western_Australia","Rural"
880,"Western_Australia","Rural"
885,"Western_Australia","Rural"
886,"Western_Australia","Rural"
2000,"Broad_NSW","Urban"
2006,"Broad_NSW","Urban"
2007,"Broad_NSW","Urban"
2008,"Broad_NSW","Urban"
2009,"Broad_NSW","Urban"
2010,"Broad_NSW","Urban"
2011,"Broad_NSW","Urban"
2015,"Broad_NSW","Urban"
2016,"Broad_NSW","Urban"
2017,"Broad_NSW","Urban"
2018,"Broad_NSW","Urban"
2019,"Broad_NSW","Urban"
2020,"Broad_NSW","Urban"
2021,"Broad_NSW","Urban"
2022,"Broad_NSW","Urban"
2023,"Broad_NSW","Urban"
2024,"Broad_NSW","Urban"
2025,"Broad_NSW","Urban"
2026,"Broad_NSW","Urban"
2027,"Broad_NSW","Urban"
2028,"Broad_NSW","Urban"
2029,"Broad_NSW","Urban"
2030,"Broad_NSW","Urban"
2031,"Broad_NSW","Urban"
2032,"Broad_NSW","Urban"
2033,"Broad_NSW","Urban"
2034,"Broad_NSW","Urban"
2035,"Broad_NSW","Urban"
2036,"Broad_NSW","Urban"
2037,"Broad_NSW","Urban"
2038,"Broad_NSW","Urban"
2039,"Broad_NSW","Urban"
2040,"Broad_NSW","Urban"
