"zip","region"
66000,"North"
66001,"North"
66002,"North"
66003,"North"
66004,"North"
66005,"North"
66006,"North"
66007,"North"
66008,"North"
66009,"North"
66010,"North"
66011,"North"
66012,"North"
66013,"North"
66014,"North"
66015,"North"
66016,"North"
66017,"North"
66018,"North"
66019,"North"
66020,"North"
66021,"North"
66022,"North"
66023,"North"
66024,"North"
66025,"North"
66026,"North"
66027,"North"
66028,"North"
66029,"North"
66030,"North"
66031,"North"
66032,"North"
66033,"North"
66034,"North"
66035,"North"
66036,"North"
66037,"North"
66038,"North"
66039,"North"
66040,"North"
66041,"North"
66042,"North"
66043,"North"
66044,"North"
66045,"North"
66046,"North"
66047,"North"
66048,"North"
66049,"North"
66050,"North"
66051,"North"
66052,"North"
66053,"North"
66054,"North"
66055,"North"
66056,"North"
66057,"North"
66058,"North"
66059,"North"
66060,"North"
66061,"North"
66062,"North"
66063,"North"
66064,"North"
66065,"North"
66066,"North"
66067,"North"
66068,"North"
66069,"North"
66070,"North"
66071,"North"
66072,"North"
66073,"North"
66074,"North"
66075,"North"
66076,"North"
66077,"North"
66078,"North"
66079,"North"
66080,"North"
66081,"North"
66082,"North"
66083,"North"
66084,"North"
66085,"North"
66086,"North"
66087,"North"
66088,"North"
66089,"North"
66090,"North"
66091,"North"
66092,"North"
66093,"North"
66094,"North"
66095,"North"
66096,"North"
66097,"North"
66098,"North"
66099,"North"
66100,"North"
66101,"North"
66102,"North"
66103,"North"
66104,"North"
66105,"North"
66106,"North"
66107,"North"
66108,"North"
66109,"North"
66110,"North"
66111,"North"
66112,"North"
66113,"North"
66114,"North"
66115,"North"
66116,"North"
66117,"North"
66118,"North"
66119,"North"
66120,"North"
66121,"North"
66122,"North"
66123,"North"
66124,"North"
66125,"North"
66126,"North"
66127,"North"
66128,"North"
66129,"North"
66130,"North"
66131,"North"
66132,"North"
66133,"North"
66134,"North"
66135,"North"
66136,"North"
66137,"North"
66138,"North"
66139,"North"
66140,"North"
66141,"North"
66142,"North"
66143,"North"
66144,"North"
66145,"North"
66146,"North"
66147,"North"
66148,"North"
66149,"North"
66150,"North"
66151,"North"
66152,"North"
66153,"North"
66154,"North"
66155,"North"
66156,"North"
66157,"North"
66158,"North"
66159,"North"
66160,"North"
66161,"North"
66162,"North"
66163,"North"
66164,"North"
66165,"North"
66166,"North"
66167,"North"
66168,"North"
66169,"North"
66170,"North"
66171,"North"
66172,"North"
66173,"North"
66174,"North"
66175,"North"
66176,"North"
66177,"North"
66178,"North"
66179,"North"
66180,"North"
66181,"North"
66182,"North"
66183,"North"
66184,"North"
66185,"North"
66186,"North"
66187,"North"
66188,"North"
66189,"North"
66190,"North"
66191,"North"
66192,"North"
66193,"North"
66194,"North"
66195,"North"
66196,"North"
66197,"North"
66198,"North"
66199,"North"
66200,"North"
66201,"North"
66202,"North"
66203,"North"
66204,"North"
66205,"North"
66206,"North"
66207,"North"
66208,"North"
66209,"North"
66210,"North"
66211,"North"
66212,"North"
66213,"North"
66214,"North"
66215,"North"
66216,"North"
66217,"North"
66218,"North"
66219,"North"
66220,"North"
66221,"North"
66222,"North"
66223,"North"
66224,"North"
66225,"North"
66226,"North"
66227,"North"
66228,"North"
66229,"North"
66230,"North"
66231,"North"
66232,"North"
66233,"North"
66234,"North"
66235,"North"
66236,"North"
66237,"North"
66238,"North"
66239,"North"
66240,"North"
66241,"North"
66242,"North"
66243,"North"
66244,"North"
66245,"North"
66246,"North"
66247,"North"
66248,"North"
66249,"North"
66250,"North"
66251,"North"
66252,"North"
66253,"North"
66254,"North"
66255,"North"
66256,"North"
66257,"North"
66258,"North"
66259,"North"
66260,"North"
66261,"North"
66262,"North"
66263,"North"
66264,"North"
66265,"North"
66266,"North"
66267,"North"
66268,"North"
66269,"North"
66270,"North"
66271,"North"
66272,"North"
66273,"North"
66274,"North"
66275,"North"
66276,"North"
66277,"North"
66278,"North"
66279,"North"
66280,"North"
66281,"North"
66282,"North"
66283,"North"
66284,"North"
66285,"North"
66286,"North"
66287,"North"
66288,"North"
66289,"North"
66290,"North"
66291,"North"
66292,"North"
66293,"North"
66294,"North"
66295,"North"
66296,"North"
66297,"North"
66298,"North"
66299,"North"
66300,"North"
66301,"North"
66302,"North"
66303,"North"
66304,"North"
66305,"North"
66306,"North"
66307,"North"
66308,"North"
66309,"North"
66310,"North"
66311,"North"
66312,"North"
66313,"North"
66314,"North"
66315,"North"
66316,"North"
66317,"North"
66318,"North"
66319,"North"
66320,"North"
66321,"North"
66322,"North"
66323,"North"
66324,"North"
66325,"North"
66326,"North"
66327,"North"
66328,"North"
66329,"North"
66330,"North"
66331,"North"
66332,"North"
66333,"North"
66334,"North"
66335,"North"
66336,"North"
66337,"North"
66338,"North"
66339,"North"
66340,"North"
66341,"North"
66342,"North"
66343,"North"
66344,"North"
66345,"North"
66346,"North"
66347,"North"
66348,"North"
