"FSA","Rural.urban.quota","Region.quota"
"A0A","Rural","East"
"A0B","Rural","East"
"A0C","Rural","East"
"A0E","Rural","East"
"A0G","Rural","East"
"A0H","Rural","East"
"A0J","Rural","East"
"A0K","Rural","East"
"A0L","Rural","East"
"A0M","Rural","East"
"A0N","Rural","East"
"A0P","Rural","East"
"A0R","Rural","East"
"A1A","Urban","East"
"A1B","Urban","East"
"A1C","Urban","East"
"A1E","Urban","East"
"A1G","Urban","East"
"A1H","Urban","East"
"A1K","Urban","East"
"A1L","Urban","East"
"A1M","Urban","East"
"A1N","Urban","East"
"A1S","Urban","East"
"A1V","Urban","East"
"A1W","Urban","East"
"A1X","Urban","East"
"A1Y","Urban","East"
"A2A","Urban","East"
"A2B","Urban","East"
"A2H","Urban","East"
"A2N","Urban","East"
"A2V","Urban","East"
"A5A","Urban","East"
"A8A","Urban","East"
"B0C","Rural","East"
"B0E","Rural","East"
"B0H","Rural","East"
"B0J","Rural","East"
"B0K","Rural","East"
"B0L","Rural","East"
"B0M","Rural","East"
"B0N","Rural","East"
"B0P","Rural","East"
"B0R","Rural","East"
"B0S","Rural","East"
"B0T","Rural","East"
"B0V","Rural","East"
"B0W","Rural","East"
"B1A","Urban","East"
"B1B","Urban","East"
"B1C","Urban","East"
"B1E","Urban","East"
"B1G","Urban","East"
"B1H","Urban","East"
"B1J","Urban","East"
"B1K","Urban","East"
"B1L","Urban","East"
"B1M","Urban","East"
"B1N","Urban","East"
"B1P","Urban","East"
"B1R","Urban","East"
"B1S","Urban","East"
"B1T","Urban","East"
"B1V","Urban","East"
"B1W","Urban","East"
"B1X","Urban","East"
"B1Y","Urban","East"
"B2A","Urban","East"
"B2C","Urban","East"
"B2E","Urban","East"
"B2G","Urban","East"
"B2H","Urban","East"
"B2J","Urban","East"
"B2N","Urban","East"
"B2R","Urban","East"
"B2S","Urban","East"
"B2T","Urban","East"
"B2V","Urban","East"
"B2W","Urban","East"
"B2X","Urban","East"
"B2Y","Urban","East"
"B2Z","Urban","East"
"B3A","Urban","East"
"B3B","Urban","East"
"B3E","Urban","East"
"B3G","Urban","East"
"B3H","Urban","East"
"B3J","Urban","East"
"B3K","Urban","East"
"B3L","Urban","East"
"B3M","Urban","East"
"B3N","Urban","East"
"B3P","Urban","East"
"B3R","Urban","East"
"B3S","Urban","East"
"B3T","Urban","East"
"B3V","Urban","East"
"B3Z","Urban","East"
"B4A","Urban","East"
"B4B","Urban","East"
"B4C","Urban","East"
"B4E","Urban","East"
"B4G","Urban","East"
"B4H","Urban","East"
"B4N","Urban","East"
"B4P","Urban","East"
"B4R","Urban","East"
"B4V","Urban","East"
"B5A","Urban","East"
"B6L","Urban","East"
"B9A","Urban","East"
"C0A","Rural","East"
"C0B","Rural","East"
"C1A","Urban","East"
"C1B","Urban","East"
"C1C","Urban","East"
"C1E","Urban","East"
"C1N","Urban","East"
"E1A","Urban","East"
"E1B","Urban","East"
"E1C","Urban","East"
"E1E","Urban","East"
"E1G","Urban","East"
"E1H","Urban","East"
"E1J","Urban","East"
"E1N","Urban","East"
"E1V","Urban","East"
"E1W","Urban","East"
"E1X","Urban","East"
"E2A","Urban","East"
"E2E","Urban","East"
"E2G","Urban","East"
"E2H","Urban","East"
"E2J","Urban","East"
"E2K","Urban","East"
"E2L","Urban","East"
"E2M","Urban","East"
"E2N","Urban","East"
"E2P","Urban","East"
"E2R","Urban","East"
"E2S","Urban","East"
"E2V","Urban","East"
"E3A","Urban","East"
"E3B","Urban","East"
"E3C","Urban","East"
"E3E","Urban","East"
"E3G","Urban","East"
"E3L","Urban","East"
"E3N","Urban","East"
"E3V","Urban","East"
"E3Y","Urban","East"
"E3Z","Urban","East"
"E4A","Urban","East"
"E4B","Urban","East"
"E4C","Urban","East"
"E4E","Urban","East"
"E4G","Urban","East"
"E4H","Urban","East"
"E4J","Urban","East"
"E4K","Urban","East"
"E4L","Urban","East"
"E4M","Urban","East"
"E4N","Urban","East"
"E4P","Urban","East"
"E4R","Urban","East"
"E4S","Urban","East"
"E4T","Urban","East"
"E4V","Urban","East"
"E4W","Urban","East"
"E4X","Urban","East"
"E4Y","Urban","East"
"E4Z","Urban","East"
"E5A","Urban","East"
"E5B","Urban","East"
"E5C","Urban","East"
"E5E","Urban","East"
"E5G","Urban","East"
"E5H","Urban","East"
"E5J","Urban","East"
"E5K","Urban","East"
"E5L","Urban","East"
"E5M","Urban","East"
"E5N","Urban","East"
"E5P","Urban","East"
"E5R","Urban","East"
"E5S","Urban","East"
"E5T","Urban","East"
"E5V","Urban","East"
"E6A","Urban","East"
"E6B","Urban","East"
"E6C","Urban","East"
"E6E","Urban","East"
"E6G","Urban","East"
"E6H","Urban","East"
"E6J","Urban","East"
"E6K","Urban","East"
"E6L","Urban","East"
"E7A","Urban","East"
"E7B","Urban","East"
"E7C","Urban","East"
"E7E","Urban","East"
"E7G","Urban","East"
"E7H","Urban","East"
"E7J","Urban","East"
"E7K","Urban","East"
