"","zip","region"
"1",10000,"North China"
"2",10001,"North China"
"3",10002,"North China"
"4",10003,"North China"
"5",10004,"North China"
"6",10005,"North China"
"7",10006,"North China"
"8",10007,"North China"
"9",10008,"North China"
"10",10009,"North China"
"11",10010,"North China"
"12",10011,"North China"
"13",10012,"North China"
"14",10013,"North China"
"15",10014,"North China"
"16",10015,"North China"
"17",10016,"North China"
"18",10017,"North China"
"19",10018,"North China"
"20",10019,"North China"
"21",10020,"North China"
"22",10021,"North China"
"23",10022,"North China"
"24",10023,"North China"
"25",10024,"North China"
"26",10025,"North China"
"27",10026,"North China"
"28",10027,"North China"
"29",10028,"North China"
"30",10029,"North China"
"31",10030,"North China"
"32",10031,"North China"
"33",10032,"North China"
"34",10033,"North China"
"35",10034,"North China"
"36",10035,"North China"
"37",10036,"North China"
"38",10037,"North China"
"39",10038,"North China"
"40",10039,"North China"
"41",10040,"North China"
"42",10041,"North China"
"43",10042,"North China"
"44",10043,"North China"
"45",10044,"North China"
"46",10045,"North China"
"47",10046,"North China"
"48",10047,"North China"
"49",10048,"North China"
"50",10049,"North China"
"51",10050,"North China"
"52",10051,"North China"
"53",10052,"North China"
"54",10053,"North China"
"55",10054,"North China"
"56",10055,"North China"
"57",10056,"North China"
"58",10057,"North China"
"59",10058,"North China"
"60",10059,"North China"
"61",10060,"North China"
"62",10061,"North China"
"63",10062,"North China"
"64",10063,"North China"
"65",10064,"North China"
"66",10065,"North China"
"67",10066,"North China"
"68",10067,"North China"
"69",10068,"North China"
"70",10069,"North China"
"71",10070,"North China"
"72",10071,"North China"
"73",10072,"North China"
"74",10073,"North China"
"75",10074,"North China"
"76",10075,"North China"
"77",10076,"North China"
"78",10077,"North China"
"79",10078,"North China"
"80",10079,"North China"
"81",10080,"North China"
"82",10081,"North China"
"83",10082,"North China"
"84",10083,"North China"
"85",10084,"North China"
"86",10085,"North China"
"87",10086,"North China"
"88",10087,"North China"
"89",10088,"North China"
"90",10089,"North China"
"91",10090,"North China"
"92",10091,"North China"
"93",10092,"North China"
"94",10093,"North China"
"95",10094,"North China"
"96",10095,"North China"
"97",10096,"North China"
"98",10097,"North China"
"99",10098,"North China"
"100",10099,"North China"
"101",10100,"North China"
"102",10101,"North China"
"103",10102,"North China"
"104",10103,"North China"
"105",10104,"North China"
"106",10105,"North China"
"107",10106,"North China"
"108",10107,"North China"
"109",10108,"North China"
"110",10109,"North China"
"111",10110,"North China"
"112",10111,"North China"
"113",10112,"North China"
"114",10113,"North China"
"115",10114,"North China"
"116",10115,"North China"
"117",10116,"North China"
"118",10117,"North China"
"119",10118,"North China"
"120",10119,"North China"
"121",10120,"North China"
"122",10121,"North China"
"123",10122,"North China"
