"zip","region"
10000,"North China"
10001,"North China"
10002,"North China"
10003,"North China"
10004,"North China"
10005,"North China"
10006,"North China"
10007,"North China"
10008,"North China"
10009,"North China"
10010,"North China"
10011,"North China"
10012,"North China"
10013,"North China"
10014,"North China"
10015,"North China"
10016,"North China"
10017,"North China"
10018,"North China"
10019,"North China"
10020,"North China"
10021,"North China"
10022,"North China"
10023,"North China"
10024,"North China"
10025,"North China"
10026,"North China"
10027,"North China"
10028,"North China"
10029,"North China"
10030,"North China"
10031,"North China"
10032,"North China"
10033,"North China"
10034,"North China"
10035,"North China"
10036,"North China"
10037,"North China"
10038,"North China"
10039,"North China"
10040,"North China"
10041,"North China"
10042,"North China"
10043,"North China"
10044,"North China"
10045,"North China"
10046,"North China"
10047,"North China"
10048,"North China"
10049,"North China"
10050,"North China"
10051,"North China"
10052,"North China"
10053,"North China"
10054,"North China"
10055,"North China"
10056,"North China"
10057,"North China"
10058,"North China"
10059,"North China"
10060,"North China"
10061,"North China"
10062,"North China"
10063,"North China"
10064,"North China"
10065,"North China"
10066,"North China"
10067,"North China"
10068,"North China"
10069,"North China"
10070,"North China"
10071,"North China"
10072,"North China"
10073,"North China"
10074,"North China"
10075,"North China"
10076,"North China"
10077,"North China"
10078,"North China"
10079,"North China"
10080,"North China"
10081,"North China"
10082,"North China"
10083,"North China"
10084,"North China"
10085,"North China"
10086,"North China"
10087,"North China"
10088,"North China"
10089,"North China"
10090,"North China"
10091,"North China"
10092,"North China"
10093,"North China"
10094,"North China"
10095,"North China"
10096,"North China"
10097,"North China"
10098,"North China"
10099,"North China"
10100,"North China"
10101,"North China"
10102,"North China"
10103,"North China"
10104,"North China"
10105,"North China"
10106,"North China"
10107,"North China"
10108,"North China"
10109,"North China"
10110,"North China"
10111,"North China"
10112,"North China"
10113,"North China"
10114,"North China"
10115,"North China"
10116,"North China"
10117,"North China"
10118,"North China"
10119,"North China"
10120,"North China"
10121,"North China"
10122,"North China"
10123,"North China"
10124,"North China"
10125,"North China"
10126,"North China"
10127,"North China"
10128,"North China"
10129,"North China"
10130,"North China"
10131,"North China"
10132,"North China"
10133,"North China"
10134,"North China"
10135,"North China"
10136,"North China"
10137,"North China"
10138,"North China"
10139,"North China"
10140,"North China"
10141,"North China"
10142,"North China"
10143,"North China"
10144,"North China"
10145,"North China"
10146,"North China"
10147,"North China"
10148,"North China"
10149,"North China"
10150,"North China"
10151,"North China"
10152,"North China"
10153,"North China"
10154,"North China"
10155,"North China"
10156,"North China"
10157,"North China"
10158,"North China"
10159,"North China"
10160,"North China"
10161,"North China"
10162,"North China"
10163,"North China"
10164,"North China"
10165,"North China"
10166,"North China"
10167,"North China"
10168,"North China"
10169,"North China"
10170,"North China"
10171,"North China"
10172,"North China"
10173,"North China"
10174,"North China"
10175,"North China"
10176,"North China"
10177,"North China"
10178,"North China"
10179,"North China"
10180,"North China"
10181,"North China"
10182,"North China"
10183,"North China"
10184,"North China"
10185,"North China"
10186,"North China"
10187,"North China"
10188,"North China"
10189,"North China"
10190,"North China"
10191,"North China"
10192,"North China"
10193,"North China"
10194,"North China"
10195,"North China"
10196,"North China"
10197,"North China"
10198,"North China"
10199,"North China"
10200,"North China"
10201,"North China"
10202,"North China"
10203,"North China"
10204,"North China"
10205,"North China"
10206,"North China"
10207,"North China"
10208,"North China"
10209,"North China"
10210,"North China"
10211,"North China"
10212,"North China"
10213,"North China"
10214,"North China"
10215,"North China"
10216,"North China"
10217,"North China"
10218,"North China"
10219,"North China"
10220,"North China"
10221,"North China"
10222,"North China"
10223,"North China"
10224,"North China"
10225,"North China"
10226,"North China"
10227,"North China"
10228,"North China"
10229,"North China"
10230,"North China"
10231,"North China"
10232,"North China"
10233,"North China"
10234,"North China"
10235,"North China"
10236,"North China"
10237,"North China"
10238,"North China"
10239,"North China"
10240,"North China"
10241,"North China"
10242,"North China"
10243,"North China"
10244,"North China"
10245,"North China"
10246,"North China"
10247,"North China"
10248,"North China"
10249,"North China"
10250,"North China"
10251,"North China"
10252,"North China"
10253,"North China"
10254,"North China"
10255,"North China"
10256,"North China"
10257,"North China"
10258,"North China"
10259,"North China"
10260,"North China"
10261,"North China"
10262,"North China"
10263,"North China"
10264,"North China"
10265,"North China"
10266,"North China"
10267,"North China"
10268,"North China"
10269,"North China"
10270,"North China"
10271,"North China"
10272,"North China"
10273,"North China"
10274,"North China"
10275,"North China"
10276,"North China"
10277,"North China"
10278,"North China"
10279,"North China"
10280,"North China"
10281,"North China"
10282,"North China"
10283,"North China"
10284,"North China"
10285,"North China"
10286,"North China"
10287,"North China"
10288,"North China"
10289,"North China"
10290,"North China"
10291,"North China"
10292,"North China"
10293,"North China"
10294,"North China"
10295,"North China"
10296,"North China"
10297,"North China"
10298,"North China"
10299,"North China"
10300,"North China"
10301,"North China"
10302,"North China"
10303,"North China"
10304,"North China"
10305,"North China"
10306,"North China"
10307,"North China"
10308,"North China"
10309,"North China"
10310,"North China"
10311,"North China"
10312,"North China"
10313,"North China"
10314,"North China"
10315,"North China"
10316,"North China"
10317,"North China"
10318,"North China"
10319,"North China"
10320,"North China"
10321,"North China"
10322,"North China"
10323,"North China"
10324,"North China"
10325,"North China"
10326,"North China"
10327,"North China"
10328,"North China"
10329,"North China"
10330,"North China"
10331,"North China"
10332,"North China"
10333,"North China"
10334,"North China"
10335,"North China"
10336,"North China"
10337,"North China"
10338,"North China"
10339,"North China"
10340,"North China"
10341,"North China"
10342,"North China"
10343,"North China"
10344,"North China"
10345,"North China"
10346,"North China"
10347,"North China"
10348,"North China"
10349,"North China"
10350,"North China"
10351,"North China"
10352,"North China"
10353,"North China"
10354,"North China"
10355,"North China"
10356,"North China"
10357,"North China"
10358,"North China"
10359,"North China"
10360,"North China"
10361,"North China"
10362,"North China"
10363,"North China"
10364,"North China"
10365,"North China"
10366,"North China"
10367,"North China"
10368,"North China"
10369,"North China"
10370,"North China"
10371,"North China"
10372,"North China"
10373,"North China"
10374,"North China"
10375,"North China"
10376,"North China"
10377,"North China"
10378,"North China"
10379,"North China"
10380,"North China"
10381,"North China"
10382,"North China"
10383,"North China"
10384,"North China"
10385,"North China"
10386,"North China"
10387,"North China"
10388,"North China"
10389,"North China"
10390,"North China"
10391,"North China"
10392,"North China"
10393,"North China"
10394,"North China"
10395,"North China"
10396,"North China"
10397,"North China"
10398,"North China"
10399,"North China"
10400,"North China"
10401,"North China"
10402,"North China"
10403,"North China"
10404,"North China"
10405,"North China"
10406,"North China"
10407,"North China"
10408,"North China"
10409,"North China"
10410,"North China"
10411,"North China"
10412,"North China"
10413,"North China"
10414,"North China"
10415,"North China"
10416,"North China"
10417,"North China"
10418,"North China"
10419,"North China"
10420,"North China"
10421,"North China"
10422,"North China"
10423,"North China"
10424,"North China"
10425,"North China"
10426,"North China"
10427,"North China"
10428,"North China"
10429,"North China"
10430,"North China"
10431,"North China"
10432,"North China"
10433,"North China"
10434,"North China"
10435,"North China"
10436,"North China"
10437,"North China"
10438,"North China"
10439,"North China"
10440,"North China"
10441,"North China"
10442,"North China"
10443,"North China"
10444,"North China"
10445,"North China"
10446,"North China"
10447,"North China"
10448,"North China"
10449,"North China"
10450,"North China"
10451,"North China"
10452,"North China"
10453,"North China"
10454,"North China"
10455,"North China"
10456,"North China"
10457,"North China"
10458,"North China"
10459,"North China"
10460,"North China"
10461,"North China"
10462,"North China"
10463,"North China"
10464,"North China"
10465,"North China"
10466,"North China"
10467,"North China"
10468,"North China"
10469,"North China"
10470,"North China"
10471,"North China"
10472,"North China"
10473,"North China"
10474,"North China"
10475,"North China"
10476,"North China"
10477,"North China"
10478,"North China"
10479,"North China"
10480,"North China"
10481,"North China"
10482,"North China"
10483,"North China"
10484,"North China"
10485,"North China"
10486,"North China"
10487,"North China"
10488,"North China"
10489,"North China"
10490,"North China"
10491,"North China"
10492,"North China"
10493,"North China"
10494,"North China"
10495,"North China"
10496,"North China"
10497,"North China"
10498,"North China"
10499,"North China"
10500,"North China"
10501,"North China"
10502,"North China"
10503,"North China"
10504,"North China"
10505,"North China"
10506,"North China"
10507,"North China"
10508,"North China"
10509,"North China"
10510,"North China"
10511,"North China"
10512,"North China"
10513,"North China"
10514,"North China"
10515,"North China"
10516,"North China"
10517,"North China"
10518,"North China"
10519,"North China"
10520,"North China"
10521,"North China"
10522,"North China"
10523,"North China"
10524,"North China"
10525,"North China"
10526,"North China"
10527,"North China"
