Region_quota,zip_start
North,10
North,30
North,1
North,2
North,3
North,4
North,5
North,6
North,7
Northeast,11
Northeast,12
Northeast,13
Northeast,15
Northeast,16
East,20
East,21
East,22
East,23
East,24
East,25
East,26
East,27
East,31
East,32
East,33
East,34
East,35
East,36
South Central,41
South Central,42
South Central,43
South Central,44
South Central,45
South Central,46
South Central,47
South Central,51
South Central,52
South Central,53
South Central,54
South Central,57
South Central,99
West,40
West,55
West,56
West,61
West,62
West,63
West,64
West,65
West,66
West,67
West,85
West,86
West,71
West,72
West,73
West,74
West,75
West,81
West,83
West,84
