"","zip","region"
"1",8000,"East"
"2",8001,"East"
"3",8002,"East"
"4",8003,"East"
"5",8004,"East"
"6",8005,"East"
"7",8006,"East"
"8",8007,"East"
"9",8008,"East"
"10",8009,"East"
"11",8010,"East"
"12",8011,"East"
"13",8012,"East"
"14",8013,"East"
"15",8014,"East"
"16",8015,"East"
"17",8016,"East"
"18",8017,"East"
"19",8018,"East"
"20",8019,"East"
"21",8020,"East"
"22",8021,"East"
"23",8022,"East"
"24",8023,"East"
"25",8024,"East"
"26",8025,"East"
"27",8026,"East"
"28",8027,"East"
"29",8028,"East"
"30",8029,"East"
"31",8030,"East"
"32",8031,"East"
"33",8032,"East"
"34",8033,"East"
"35",8034,"East"
"36",8035,"East"
"37",8036,"East"
"38",8037,"East"
"39",8038,"East"
"40",8039,"East"
"41",8040,"East"
"42",8041,"East"
"43",8042,"East"
"44",8043,"East"
"45",8044,"East"
"46",8045,"East"
"47",8046,"East"
"48",8047,"East"
"49",8048,"East"
"50",8049,"East"
"51",8050,"East"
"52",8051,"East"
"53",8052,"East"
"54",8053,"East"
"55",8054,"East"
"56",8055,"East"
"57",8056,"East"
"58",8057,"East"
"59",8058,"East"
"60",8059,"East"
"61",8060,"East"
"62",8061,"East"
"63",8062,"East"
"64",8063,"East"
"65",8064,"East"
"66",8065,"East"
"67",8066,"East"
"68",8067,"East"
"69",8068,"East"
"70",8069,"East"
"71",8070,"East"
"72",8071,"East"
"73",8072,"East"
"74",8073,"East"
"75",8074,"East"
"76",8075,"East"
"77",8076,"East"
"78",8077,"East"
"79",8078,"East"
"80",8079,"East"
"81",8080,"East"
"82",8081,"East"
"83",8082,"East"
"84",8083,"East"
"85",8084,"East"
"86",8085,"East"
"87",8086,"East"
"88",8087,"East"
"89",8088,"East"
"90",8089,"East"
"91",8090,"East"
"92",8091,"East"
"93",8092,"East"
"94",8093,"East"
"95",8094,"East"
"96",8095,"East"
"97",8096,"East"
"98",8097,"East"
"99",8098,"East"
"100",8099,"East"
"101",8100,"East"
"102",8101,"East"
"103",8102,"East"
"104",8103,"East"
"105",8104,"East"
"106",8105,"East"
"107",8106,"East"
"108",8107,"East"
"109",8108,"East"
"110",8109,"East"
"111",8110,"East"
"112",8111,"East"
"113",8112,"East"
"114",8113,"East"
"115",8114,"East"
"116",8115,"East"
"117",8116,"East"
"118",8117,"East"
"119",8118,"East"
"120",8119,"East"
"121",8120,"East"
"122",8121,"East"
"123",8122,"East"
"124",8123,"East"
"125",8124,"East"
"126",8125,"East"
"127",8126,"East"
"128",8127,"East"
"129",8128,"East"
"130",8129,"East"
"131",8130,"East"
"132",8131,"East"
"133",8132,"East"
"134",8133,"East"
"135",8134,"East"
"136",8135,"East"
"137",8136,"East"
"138",8137,"East"
"139",8138,"East"
"140",8139,"East"
"141",8140,"East"
"142",8141,"East"
"143",8142,"East"
"144",8143,"East"
"145",8144,"East"
"146",8145,"East"
"147",8146,"East"
"148",8147,"East"
"149",8148,"East"
"150",8149,"East"
"151",8150,"East"
"152",8151,"East"
"153",8152,"East"
"154",8153,"East"
"155",8154,"East"
"156",8155,"East"
"157",8156,"East"
"158",8157,"East"
"159",8158,"East"
"160",8159,"East"
"161",8160,"East"
"162",8161,"East"
"163",8162,"East"
"164",8163,"East"
"165",8164,"East"
"166",8165,"East"
"167",8166,"East"
"168",8167,"East"
"169",8168,"East"
"170",8169,"East"
"171",8170,"East"
"172",8171,"East"
"173",8172,"East"
"174",8173,"East"
"175",8174,"East"
"176",8175,"East"
"177",8176,"East"
"178",8177,"East"
"179",8178,"East"
"180",8179,"East"
"181",8180,"East"
"182",8181,"East"
"183",8182,"East"
"184",8183,"East"
"185",8184,"East"
"186",8185,"East"
"187",8186,"East"
"188",8187,"East"
"189",8188,"East"
"190",8189,"East"
"191",8190,"East"
"192",8191,"East"
"193",8192,"East"
"194",8193,"East"
"195",8194,"East"
"196",8195,"East"
"197",8196,"East"
"198",8197,"East"
"199",8198,"East"
"200",8199,"East"
"201",8200,"East"
"202",8201,"East"
"203",8202,"East"
"204",8203,"East"
"205",8204,"East"
"206",8205,"East"
"207",8206,"East"
"208",8207,"East"
"209",8208,"East"
"210",8209,"East"
"211",8210,"East"
"212",8211,"East"
"213",8212,"East"
"214",8213,"East"
"215",8214,"East"
"216",8215,"East"
"217",8216,"East"
"218",8217,"East"
"219",8218,"East"
"220",8219,"East"
"221",8220,"East"
"222",8221,"East"
"223",8222,"East"
"224",8223,"East"
"225",8224,"East"
"226",8225,"East"
"227",8226,"East"
"228",8227,"East"
"229",8228,"East"
"230",8229,"East"
"231",8230,"East"
"232",8231,"East"
"233",8232,"East"
"234",8233,"East"
"235",8234,"East"
"236",8235,"East"
"237",8236,"East"
"238",8237,"East"
"239",8238,"East"
"240",8239,"East"
"241",8240,"East"
"242",8241,"East"
"243",8242,"East"
"244",8243,"East"
"245",8244,"East"
"246",8245,"East"
"247",8246,"East"
"248",8247,"East"
"249",8248,"East"
"250",8249,"East"
"251",8250,"East"
"252",8251,"East"
"253",8252,"East"
"254",8253,"East"
"255",8254,"East"
"256",8255,"East"
"257",8256,"East"
"258",8257,"East"
"259",8258,"East"
"260",8259,"East"
"261",8260,"East"
"262",8261,"East"
"263",8262,"East"
"264",8263,"East"
"265",8264,"East"
"266",8265,"East"
"267",8266,"East"
"268",8267,"East"
"269",8268,"East"
"270",8269,"East"
"271",8270,"East"
"272",8271,"East"
"273",8272,"East"
"274",8273,"East"
"275",8274,"East"
"276",8275,"East"
"277",8276,"East"
"278",8277,"East"
"279",8278,"East"
"280",8279,"East"
"281",8280,"East"
"282",8281,"East"
"283",8282,"East"
"284",8283,"East"
"285",8284,"East"
"286",8285,"East"
"287",8286,"East"
"288",8287,"East"
"289",8288,"East"
"290",8289,"East"
"291",8290,"East"
"292",8291,"East"
"293",8292,"East"
"294",8293,"East"
"295",8294,"East"
"296",8295,"East"
"297",8296,"East"
"298",8297,"East"
"299",8298,"East"
"300",8299,"East"
"301",8300,"East"
"302",8301,"East"
"303",8302,"East"
"304",8303,"East"
"305",8304,"East"
"306",8305,"East"
"307",8306,"East"
"308",8307,"East"
"309",8308,"East"
"310",8309,"East"
"311",8310,"East"
"312",8311,"East"
"313",8312,"East"
"314",8313,"East"
"315",8314,"East"
"316",8315,"East"
"317",8316,"East"
"318",8317,"East"
"319",8318,"East"
"320",8319,"East"
"321",8320,"East"
"322",8321,"East"
"323",8322,"East"
"324",8323,"East"
"325",8324,"East"
"326",8325,"East"
"327",8326,"East"
"328",8327,"East"
"329",8328,"East"
"330",8329,"East"
"331",8330,"East"
"332",8331,"East"
"333",8332,"East"
"334",8333,"East"
"335",8334,"East"
"336",8335,"East"
"337",8336,"East"
"338",8337,"East"
"339",8338,"East"
"340",8339,"East"
"341",8340,"East"
"342",8341,"East"
"343",8342,"East"
"344",8343,"East"
"345",8344,"East"
"346",8345,"East"
"347",8346,"East"
"348",8347,"East"
"349",8348,"East"
"350",8349,"East"
"351",8350,"East"
"352",8351,"East"
"353",8352,"East"
"354",8353,"East"
"355",8354,"East"
"356",8355,"East"
"357",8356,"East"
"358",8357,"East"
"359",8358,"East"
"360",8359,"East"
"361",8360,"East"
"362",8361,"East"
"363",8362,"East"
"364",8363,"East"
"365",8364,"East"
"366",8365,"East"
"367",8366,"East"
"368",8367,"East"
"369",8368,"East"
"370",8369,"East"
"371",8370,"East"
"372",8371,"East"
"373",8372,"East"
"374",8373,"East"
"375",8374,"East"
"376",8375,"East"
"377",8376,"East"
"378",8377,"East"
"379",8378,"East"
"380",8379,"East"
"381",8380,"East"
"382",8381,"East"
"383",8382,"East"
"384",8383,"East"
"385",8384,"East"
"386",8385,"East"
"387",8386,"East"
"388",8387,"East"
"389",8388,"East"
"390",8389,"East"
"391",8390,"East"
"392",8391,"East"
"393",8392,"East"
"394",8393,"East"
"395",8394,"East"
"396",8395,"East"
"397",8396,"East"
"398",8397,"East"
"399",8398,"East"
"400",8399,"East"
"401",8400,"East"
"402",8401,"East"
"403",8402,"East"
"404",8403,"East"
"405",8404,"East"
"406",8405,"East"
"407",8406,"East"
"408",8407,"East"
"409",8408,"East"
"410",8409,"East"
"411",8410,"East"
"412",8411,"East"
"413",8412,"East"
"414",8413,"East"
"415",8414,"East"
"416",8415,"East"
"417",8416,"East"
"418",8417,"East"
"419",8418,"East"
"420",8419,"East"
"421",8420,"East"
"422",8421,"East"
"423",8422,"East"
"424",8423,"East"
"425",8424,"East"
"426",8425,"East"
"427",8426,"East"
"428",8427,"East"
"429",8428,"East"
"430",8429,"East"
"431",8430,"East"
"432",8431,"East"
"433",8432,"East"
"434",8433,"East"
"435",8434,"East"
"436",8435,"East"
"437",8436,"East"
"438",8437,"East"
"439",8438,"East"
"440",8439,"East"
"441",8440,"East"
"442",8441,"East"
"443",8442,"East"
"444",8443,"East"
"445",8444,"East"
"446",8445,"East"
"447",8446,"East"
"448",8447,"East"
"449",8448,"East"
"450",8449,"East"
"451",8450,"East"
"452",8451,"East"
"453",8452,"East"
"454",8453,"East"
"455",8454,"East"
"456",8455,"East"
"457",8456,"East"
"458",8457,"East"
"459",8458,"East"
"460",8459,"East"
"461",8460,"East"
"462",8461,"East"
"463",8462,"East"
"464",8463,"East"
"465",8464,"East"
"466",8465,"East"
"467",8466,"East"
"468",8467,"East"
"469",8468,"East"
"470",8469,"East"
"471",8470,"East"
"472",8471,"East"
"473",8472,"East"
"474",8473,"East"
"475",8474,"East"
"476",8475,"East"
"477",8476,"East"
"478",8477,"East"
"479",8478,"East"
"480",8479,"East"
"481",8480,"East"
"482",8481,"East"
"483",8482,"East"
"484",8483,"East"
"485",8484,"East"
"486",8485,"East"
"487",8486,"East"
"488",8487,"East"
"489",8488,"East"
"490",8489,"East"
"491",8490,"East"
"492",8491,"East"
"493",8492,"East"
"494",8493,"East"
"495",8494,"East"
"496",8495,"East"
"497",8496,"East"
"498",8497,"East"
"499",8498,"East"
"500",8499,"East"
"501",8500,"East"
"502",8501,"East"
"503",8502,"East"
"504",8503,"East"
"505",8504,"East"
"506",8505,"East"
"507",8506,"East"
"508",8507,"East"
"509",8508,"East"
"510",8509,"East"
"511",8510,"East"
"512",8511,"East"
"513",8512,"East"
"514",8513,"East"
"515",8514,"East"
"516",8515,"East"
"517",8516,"East"
"518",8517,"East"
"519",8518,"East"
"520",8519,"East"
"521",8520,"East"
"522",8521,"East"
"523",8522,"East"
"524",8523,"East"
"525",8524,"East"
"526",8525,"East"
"527",8526,"East"
"528",8527,"East"
"529",8528,"East"
"530",8529,"East"
"531",8530,"East"
"532",8531,"East"
"533",8532,"East"
"534",8533,"East"
"535",8534,"East"
"536",8535,"East"
"537",8536,"East"
"538",8537,"East"
"539",8538,"East"
"540",8539,"East"
"541",8540,"East"
"542",8541,"East"
"543",8542,"East"
"544",8543,"East"
"545",8544,"East"
"546",8545,"East"
"547",8546,"East"
"548",8547,"East"
"549",8548,"East"
"550",8549,"East"
"551",8550,"East"
"552",8551,"East"
"553",8552,"East"
"554",8553,"East"
"555",8554,"East"
"556",8555,"East"
"557",8556,"East"
"558",8557,"East"
"559",8558,"East"
"560",8559,"East"
"561",8560,"East"
"562",8561,"East"
"563",8562,"East"
"564",8563,"East"
"565",8564,"East"
"566",8565,"East"
"567",8566,"East"
"568",8567,"East"
"569",8568,"East"
"570",8569,"East"
"571",8570,"East"
"572",8571,"East"
"573",8572,"East"
"574",8573,"East"
"575",8574,"East"
"576",8575,"East"
"577",8576,"East"
"578",8577,"East"
"579",8578,"East"
"580",8579,"East"
"581",8580,"East"
"582",8581,"East"
"583",8582,"East"
"584",8583,"East"
"585",8584,"East"
"586",8585,"East"
"587",8586,"East"
"588",8587,"East"
"589",8588,"East"
"590",8589,"East"
"591",8590,"East"
"592",8591,"East"
"593",8592,"East"
"594",8593,"East"
"595",8594,"East"
"596",8595,"East"
"597",8596,"East"
"598",8597,"East"
"599",8598,"East"
"600",8599,"East"
"601",8600,"East"
"602",8601,"East"
"603",8602,"East"
"604",8603,"East"
"605",8604,"East"
"606",8605,"East"
"607",8606,"East"
"608",8607,"East"
"609",8608,"East"
"610",8609,"East"
"611",8610,"East"
"612",8611,"East"
"613",8612,"East"
"614",8613,"East"
"615",8614,"East"
"616",8615,"East"
"617",8616,"East"
"618",8617,"East"
"619",8618,"East"
"620",8619,"East"
"621",8620,"East"
"622",8621,"East"
"623",8622,"East"
"624",8623,"East"
"625",8624,"East"
"626",8625,"East"
"627",8626,"East"
"628",8627,"East"
"629",8628,"East"
"630",8629,"East"
"631",8630,"East"
"632",8631,"East"
"633",8632,"East"
"634",8633,"East"
"635",8634,"East"
"636",8635,"East"
"637",8636,"East"
"638",8637,"East"
"639",8638,"East"
"640",8639,"East"
"641",8640,"East"
"642",8641,"East"
"643",8642,"East"
"644",8643,"East"
"645",8644,"East"
"646",8645,"East"
"647",8646,"East"
"648",8647,"East"
"649",8648,"East"
"650",8649,"East"
"651",8650,"East"
"652",8651,"East"
"653",8652,"East"
"654",8653,"East"
"655",8654,"East"
"656",8655,"East"
"657",8656,"East"
"658",8657,"East"
"659",8658,"East"
"660",8659,"East"
"661",8660,"East"
"662",8661,"East"
"663",8662,"East"
"664",8663,"East"
"665",8664,"East"
"666",8665,"East"
"667",8666,"East"
"668",8667,"East"
"669",8668,"East"
"670",8669,"East"
"671",8670,"East"
"672",8671,"East"
"673",8672,"East"
"674",8673,"East"
"675",8674,"East"
"676",8675,"East"
"677",8676,"East"
"678",8677,"East"
"679",8678,"East"
"680",8679,"East"
"681",8680,"East"
"682",8681,"East"
"683",8682,"East"
"684",8683,"East"
"685",8684,"East"
"686",8685,"East"
"687",8686,"East"
"688",8687,"East"
"689",8688,"East"
"690",8689,"East"
"691",8690,"East"
"692",8691,"East"
"693",8692,"East"
"694",8693,"East"
"695",8694,"East"
"696",8695,"East"
"697",8696,"East"
"698",8697,"East"
"699",8698,"East"
"700",8699,"East"
"701",8700,"East"
"702",8701,"East"
"703",8702,"East"
"704",8703,"East"
"705",8704,"East"
"706",8705,"East"
"707",8706,"East"
"708",8707,"East"
"709",8708,"East"
"710",8709,"East"
"711",8710,"East"
"712",8711,"East"
"713",8712,"East"
"714",8713,"East"
"715",8714,"East"
"716",8715,"East"
"717",8716,"East"
"718",8717,"East"
"719",8718,"East"
"720",8719,"East"
"721",8720,"East"
"722",8721,"East"
"723",8722,"East"
"724",8723,"East"
"725",8724,"East"
"726",8725,"East"
"727",8726,"East"
"728",8727,"East"
"729",8728,"East"
"730",8729,"East"
"731",8730,"East"
"732",8731,"East"
"733",8732,"East"
"734",8733,"East"
"735",8734,"East"
"736",8735,"East"
"737",8736,"East"
"738",8737,"East"
"739",8738,"East"
"740",8739,"East"
"741",8740,"East"
"742",8741,"East"
"743",8742,"East"
"744",8743,"East"
"745",8744,"East"
"746",8745,"East"
"747",8746,"East"
"748",8747,"East"
"749",8748,"East"
"750",8749,"East"
"751",8750,"East"
"752",8751,"East"
"753",8752,"East"
"754",8753,"East"
"755",8754,"East"
"756",8755,"East"
"757",8756,"East"
"758",8757,"East"
"759",8758,"East"
"760",8759,"East"
"761",8760,"East"
"762",8761,"East"
"763",8762,"East"
"764",8763,"East"
"765",8764,"East"
"766",8765,"East"
"767",8766,"East"
"768",8767,"East"
"769",8768,"East"
"770",8769,"East"
"771",8770,"East"
"772",8771,"East"
"773",8772,"East"
"774",8773,"East"
"775",8774,"East"
"776",8775,"East"
"777",8776,"East"
"778",8777,"East"
"779",8778,"East"
"780",8779,"East"
"781",8780,"East"
"782",8781,"East"
"783",8782,"East"
"784",8783,"East"
"785",8784,"East"
"786",8785,"East"
"787",8786,"East"
"788",8787,"East"
"789",8788,"East"
"790",8789,"East"
"791",8790,"East"
"792",8791,"East"
"793",8792,"East"
"794",8793,"East"
"795",8794,"East"
"796",8795,"East"
"797",8796,"East"
"798",8797,"East"
"799",8798,"East"
"800",8799,"East"
"801",8800,"East"
"802",8801,"East"
"803",8802,"East"
"804",8803,"East"
"805",8804,"East"
"806",8805,"East"
"807",8806,"East"
"808",8807,"East"
"809",8808,"East"
"810",8809,"East"
"811",8810,"East"
"812",8811,"East"
"813",8812,"East"
"814",8813,"East"
"815",8814,"East"
"816",8815,"East"
"817",8816,"East"
"818",8817,"East"
"819",8818,"East"
"820",8819,"East"
"821",8820,"East"
"822",8821,"East"
"823",8822,"East"
"824",8823,"East"
"825",8824,"East"
"826",8825,"East"
"827",8826,"East"
"828",8827,"East"
"829",8828,"East"
"830",8829,"East"
"831",8830,"East"
"832",8831,"East"
"833",8832,"East"
"834",8833,"East"
"835",8834,"East"
"836",8835,"East"
"837",8836,"East"
"838",8837,"East"
"839",8838,"East"
"840",8839,"East"
"841",8840,"East"
"842",8841,"East"
"843",8842,"East"
"844",8843,"East"
"845",8844,"East"
"846",8845,"East"
"847",8846,"East"
"848",8847,"East"
"849",8848,"East"
"850",8849,"East"
"851",8850,"East"
"852",8851,"East"
"853",8852,"East"
"854",8853,"East"
"855",8854,"East"
"856",8855,"East"
"857",8856,"East"
"858",8857,"East"
"859",8858,"East"
"860",8859,"East"
"861",8860,"East"
"862",8861,"East"
"863",8862,"East"
"864",8863,"East"
"865",8864,"East"
"866",8865,"East"
"867",8866,"East"
"868",8867,"East"
"869",8868,"East"
"870",8869,"East"
"871",8870,"East"
"872",8871,"East"
"873",8872,"East"
"874",8873,"East"
"875",8874,"East"
"876",8875,"East"
"877",8876,"East"
"878",8877,"East"
"879",8878,"East"
"880",8879,"East"
"881",8880,"East"
"882",8881,"East"
"883",8882,"East"
"884",8883,"East"
"885",8884,"East"
"886",8885,"East"
"887",8886,"East"
"888",8887,"East"
"889",8888,"East"
"890",8889,"East"
"891",8890,"East"
"892",8891,"East"
"893",8892,"East"
"894",8893,"East"
"895",8894,"East"
"896",8895,"East"
"897",8896,"East"
"898",8897,"East"
"899",8898,"East"
"900",8899,"East"
"901",8900,"East"
"902",8901,"East"
"903",8902,"East"
"904",8903,"East"
"905",8904,"East"
"906",8905,"East"
"907",8906,"East"
"908",8907,"East"
"909",8908,"East"
"910",8909,"East"
"911",8910,"East"
"912",8911,"East"
"913",8912,"East"
"914",8913,"East"
"915",8914,"East"
"916",8915,"East"
"917",8916,"East"
"918",8917,"East"
"919",8918,"East"
"920",8919,"East"
"921",8920,"East"
"922",8921,"East"
"923",8922,"East"
"924",8923,"East"
"925",8924,"East"
"926",8925,"East"
"927",8926,"East"
"928",8927,"East"
"929",8928,"East"
"930",8929,"East"
"931",8930,"East"
"932",8931,"East"
"933",8932,"East"
"934",8933,"East"
"935",8934,"East"
"936",8935,"East"
"937",8936,"East"
"938",8937,"East"
"939",8938,"East"
"940",8939,"East"
"941",8940,"East"
"942",8941,"East"
"943",8942,"East"
"944",8943,"East"
"945",8944,"East"
"946",8945,"East"
"947",8946,"East"
"948",8947,"East"
"949",8948,"East"
"950",8949,"East"
"951",8950,"East"
"952",8951,"East"
"953",8952,"East"
"954",8953,"East"
"955",8954,"East"
"956",8955,"East"
"957",8956,"East"
"958",8957,"East"
"959",8958,"East"
"960",8959,"East"
"961",8960,"East"
"962",8961,"East"
"963",8962,"East"
"964",8963,"East"
"965",8964,"East"
"966",8965,"East"
"967",8966,"East"
"968",8967,"East"
"969",8968,"East"
"970",8969,"East"
"971",8970,"East"
"972",8971,"East"
"973",8972,"East"
"974",8973,"East"
"975",8974,"East"
"976",8975,"East"
"977",8976,"East"
"978",8977,"East"
"979",8978,"East"
"980",8979,"East"
"981",8980,"East"
"982",8981,"East"
"983",8982,"East"
"984",8983,"East"
"985",8984,"East"
"986",8985,"East"
"987",8986,"East"
"988",8987,"East"
"989",8988,"East"
"990",8989,"East"
"991",8990,"East"
"992",8991,"East"
"993",8992,"East"
"994",8993,"East"
"995",8994,"East"
"996",8995,"East"
"997",8996,"East"
"998",8997,"East"
"999",8998,"East"
"1000",8999,"East"
"1001",17000,"East"
"1002",17001,"East"
"1003",17002,"East"
"1004",17003,"East"
"1005",17004,"East"
"1006",17005,"East"
"1007",17006,"East"
"1008",17007,"East"
"1009",17008,"East"
"1010",17009,"East"
"1011",17010,"East"
"1012",17011,"East"
"1013",17012,"East"
"1014",17013,"East"
"1015",17014,"East"
"1016",17015,"East"
"1017",17016,"East"
"1018",17017,"East"
"1019",17018,"East"
"1020",17019,"East"
"1021",17020,"East"
"1022",17021,"East"
"1023",17022,"East"
"1024",17023,"East"
"1025",17024,"East"
"1026",17025,"East"
"1027",17026,"East"
"1028",17027,"East"
"1029",17028,"East"
"1030",17029,"East"
"1031",17030,"East"
"1032",17031,"East"
"1033",17032,"East"
"1034",17033,"East"
"1035",17034,"East"
"1036",17035,"East"
"1037",17036,"East"
"1038",17037,"East"
"1039",17038,"East"
"1040",17039,"East"
"1041",17040,"East"
"1042",17041,"East"
"1043",17042,"East"
"1044",17043,"East"
"1045",17044,"East"
"1046",17045,"East"
"1047",17046,"East"
"1048",17047,"East"
"1049",17048,"East"
"1050",17049,"East"
