"","Aire_Urbaine","Commune","Code_INSEE","Code_Postal","Population_commune","Zone_INSEE","Population_AU","Zone_GP","Zone_Category","Grand_pole"
"1","<c9>gletons","Darnets","19070","19300",0.3,222,7.1,"Other","Couronne",FALSE
"2","<c9>gletons","Chapelle-Spinasse","19046","19300",0.1,222,7.1,"Other","Couronne",FALSE
"3","<c9>gletons","Rosiers-d'Égleton","19176","19300",1.1,222,7.1,"Other","Couronne",FALSE
"4","<c9>gletons","Soudeilles","19263","19300",0.3,222,7.1,"Other","Couronne",FALSE
"5","<c9>gletons","Moustier-Ventadour","19145","19300",0.5,222,7.1,"Other","Couronne",FALSE
"6","<c9>gletons","Saint-Yrieix-le-Déjala","19249","19300",0.4,222,7.1,"Other","Couronne",FALSE
"7","<c9>gletons","<c9>gletons","19073","19300",4.4,221,7.1,"Other","Pole",FALSE
"8","<c9>pernay","Saint-Martin-d'Ablois","51002","51530",1.5,112,37.1,"Couronne GP","Couronne",FALSE
"9","<c9>pernay","Magenta","51663","51530",1.7,111,37.1,"GP","Pole",TRUE
"10","<c9>pernay","Corribert","51174","51270",0.1,112,37.1,"Couronne GP","Couronne",FALSE
"11","<c9>pernay","Brugny-Vaudancourt","51093","51530",0.4,112,37.1,"Couronne GP","Couronne",FALSE
"12","<c9>pernay","Moussy","51390","51530",0.8,111,37.1,"GP","Pole",TRUE
"13","<c9>pernay","Cumière","51202","51480",0.8,112,37.1,"Couronne GP","Couronne",FALSE
"14","<c9>pernay","Mardeuil","51344","51530",1.5,111,37.1,"GP","Pole",TRUE
"15","<c9>pernay","Mancy","51342","51530",0.3,112,37.1,"Couronne GP","Couronne",FALSE
"16","<c9>pernay","Mareuil-en-Brie","51345","51270",0.2,112,37.1,"Couronne GP","Couronne",FALSE
"17","<c9>pernay","Dizy","51210","51530",1.6,111,37.1,"GP","Pole",TRUE
"18","<c9>pernay","Hautvillers","51287","51160",0.8,112,37.1,"Couronne GP","Couronne",FALSE
"19","<c9>pernay","Pierry","51431","51530",1.2,111,37.1,"GP","Pole",TRUE
"20","<c9>pernay","Vinay","51643","51530",0.5,111,37.1,"GP","Pole",TRUE
"21","<c9>pernay","Chavot-Courcourt","51142","51530",0.4,112,37.1,"Couronne GP","Couronne",FALSE
"22","<c9>pernay","Le Baizil","51033","51270",0.3,112,37.1,"Couronne GP","Couronne",FALSE
"23","<c9>pernay","Moslins","51387","51530",0.3,112,37.1,"Couronne GP","Couronne",FALSE
"24","<c9>pernay","<c9>pernay","51230","51200",24.3,111,37.1,"GP","Pole",TRUE
"25","<c9>pernay","Morangis","51384","51530",0.3,112,37.1,"Couronne GP","Couronne",FALSE
"26","<c9>pernay","Suizy-le-Franc","51560","51270",0.1,112,37.1,"Couronne GP","Couronne",FALSE
"27","<c9>pinal","Padoux","88340","88700",0.5,112,91.9,"Couronne GP","Couronne",FALSE
"28","<c9>pinal","Mazeley","88294","88150",0.3,112,91.9,"Couronne GP","Couronne",FALSE
"29","<c9>pinal","La Baffe","88028","88460",0.6,112,91.9,"Couronne GP","Couronne",FALSE
"30","<c9>pinal","Uxegney","88483","88390",2.1,112,91.9,"Couronne GP","Couronne",FALSE
"31","<c9>pinal","Chaumousey","88098","88390",0.9,111,91.9,"GP","Pole",TRUE
"32","<c9>pinal","Chantraine","88087","88000",3.1,111,91.9,"GP","Pole",TRUE
"33","<c9>pinal","Uriméni","88481","88220",1.4,112,91.9,"Couronne GP","Couronne",FALSE
"34","<c9>pinal","Le Roulier","88399","88460",0.2,112,91.9,"Couronne GP","Couronne",FALSE
"35","<c9>pinal","Chavelot","88099","88150",1.5,111,91.9,"GP","Pole",TRUE
"36","<c9>pinal","Viméni","88512","88600",0.2,112,91.9,"Couronne GP","Couronne",FALSE
"37","<c9>pinal","Damas-et-Bettegney","88122","88270",0.4,112,91.9,"Couronne GP","Couronne",FALSE
"38","<c9>pinal","Rehaincourt","88379","88330",0.3,112,91.9,"Couronne GP","Couronne",FALSE
"39","<c9>pinal","Gugnécour","88222","88600",0.2,112,91.9,"Couronne GP","Couronne",FALSE
"40","<c9>pinal","Dinoz<c3>","88134","88000",0.5,111,91.9,"GP","Pole",TRUE
"41","<c9>pinal","Golbey","88209","88190",8.2,111,91.9,"GP","Pole",TRUE
"42","<c9>pinal","Gigney","88200","88390",0.1,112,91.9,"Couronne GP","Couronne",FALSE
"43","<c9>pinal","Dounoux","88157","88220",0.8,112,91.9,"Couronne GP","Couronne",FALSE
"44","<c9>pinal","Bazegney","88041","88270",0.1,112,91.9,"Couronne GP","Couronne",FALSE
"45","<c9>pinal","Domèvre-sur-Aviè","88142","88390",0.4,112,91.9,"Couronne GP","Couronne",FALSE
"46","<c9>pinal","Châtel-sur-Mosell","88094","88330",1.7,112,91.9,"Couronne GP","Couronne",FALSE
"47","<c9>pinal","Les Forges","88178","88390",2,111,91.9,"GP","Pole",TRUE
"48","<c9>pinal","Dogneville","88136","88000",1.5,111,91.9,"GP","Pole",TRUE
"49","<c9>pinal","Vaudévill","88495","88000",0.2,112,91.9,"Couronne GP","Couronne",FALSE
"50","<c9>pinal","Dompierre","88152","88600",0.3,112,91.9,"Couronne GP","Couronne",FALSE
"51","<c9>pinal","Harol","88233","88270",0.6,112,91.9,"Couronne GP","Couronne",FALSE
"52","<c9>pinal","Madonne-et-Lamerey","88281","88270",0.4,112,91.9,"Couronne GP","Couronne",FALSE
"53","<c9>pinal","Hadol","88225","88220",2.3,112,91.9,"Couronne GP","Couronne",FALSE
