Code_Postal,zone
1000,GP
1090,Couronne_GP
1100,GP
1100,Couronne_GP
1110,Other
1120,Couronne_GP
1120,GP
1130,Other
1130,Couronne_GP
1140,Couronne_GP
1140,Other
1150,Couronne_GP
1160,Couronne_GP
1160,Other
1170,Couronne_GP
1190,Other
1190,Couronne_GP
1200,Other
1200,Couronne_GP
1210,GP
1210,Couronne_GP
1220,Couronne_GP
1230,Couronne_GP
1230,Other
1240,Couronne_GP
1240,Other
1250,Couronne_GP
1250,GP
1250,Other
1260,Other
1270,Couronne_GP
1280,GP
1290,Couronne_GP
1290,Other
1300,Other
1300,Couronne_GP
1310,Couronne_GP
1320,Couronne_GP
1330,Couronne_GP
1340,Couronne_GP
1350,Other
1360,Couronne_GP
1370,Couronne_GP
1380,Couronne_GP
1380,Other
1390,Couronne_GP
1400,Couronne_GP
1400,Other
1410,Other
1420,Other
1430,Other
1440,GP
1450,Other
1460,Other
1470,Couronne_GP
1480,GP
1480,Couronne_GP
1500,Couronne_GP
1510,Other
1540,Other
1550,Couronne_GP
1560,Other
1560,Couronne_GP
1570,Couronne_GP
1580,Other
1580,Couronne_GP
1590,Couronne_GP
1600,GP
1630,Couronne_GP
1630,GP
1640,Couronne_GP
1660,Couronne_GP
1660,Other
1680,Other
1680,Couronne_GP
1700,GP
1710,GP
1750,GP
1750,Couronne_GP
1800,Couronne_GP
1851,Couronne_GP
1960,Couronne_GP
1960,GP
1990,Couronne_GP
2000,Couronne_GP
2000,GP
2000,Other
2100,Couronne_GP
2100,GP
2110,Other
2110,Couronne_GP
2120,Other
2120,Couronne_GP
2130,Other
2130,Couronne_GP
2140,Other
2150,Other
2160,Other
2160,Couronne_GP
2170,Other
2190,Couronne_GP
2200,Other
2200,Couronne_GP
2200,GP
2210,Couronne_GP
2210,Other
2220,Other
2220,Couronne_GP
2230,Other
2240,Other
2240,Couronne_GP
2250,Other
2250,Couronne_GP
2260,Other
2270,Other
2270,Couronne_GP
2290,Other
2290,Couronne_GP
2300,Other
2310,Other
2310,Couronne_GP
2320,Couronne_GP
2320,Other
2330,Couronne_GP
2330,Other
2340,Other
2350,Other
2350,Couronne_GP
2360,Other
2370,Other
2370,Couronne_GP
2380,Other
2380,Couronne_GP
2390,Couronne_GP
2400,GP
2400,Couronne_GP
2400,Other
2410,Other
2410,Couronne_GP
2420,Other
2420,Couronne_GP
2430,GP
2440,Couronne_GP
2450,Other
2460,Couronne_GP
2470,Other
2470,Couronne_GP
2480,Other
2480,Couronne_GP
2490,Other
2490,Couronne_GP
2500,Other
2510,Other
2520,Other
2540,Other
2540,Couronne_GP
2550,Other
2570,Other
2570,Couronne_GP
2580,Other
2590,Other
2590,Couronne_GP
2600,Couronne_GP
2610,Couronne_GP
2620,Other
2630,Other
2640,Couronne_GP
2650,Couronne_GP
2670,Other
2680,Couronne_GP
2680,GP
2690,Couronne_GP
2700,Other
2720,Couronne_GP
2760,Couronne_GP
2790,Couronne_GP
2800,Other
2800,Couronne_GP
2810,Couronne_GP
2820,Other
2820,Couronne_GP
2830,Other
2840,Couronne_GP
2840,GP
2850,Other
2850,Couronne_GP
2860,Couronne_GP
2860,Other
2870,Couronne_GP
2880,Other
2880,Couronne_GP
2880,GP
3000,GP
3000,Couronne_GP
3100,GP
3110,Other
3110,Couronne_GP
3110,GP
3120,Other
3120,Couronne_GP
3130,Other
3140,Other
3150,Other
3150,Couronne_GP
3160,Other
3170,Other
3170,Couronne_GP
3190,Other
3190,Couronne_GP
3200,GP
3210,Other
3210,Couronne_GP
3220,Other
3230,Other
3230,Couronne_GP
3240,Other
3240,Couronne_GP
3250,Other
3250,Couronne_GP
3260,Couronne_GP
3270,GP
3270,Couronne_GP
3290,Other
3300,Couronne_GP
3300,GP
3310,Couronne_GP
3310,GP
3320,Other
3330,Other
3340,Couronne_GP
3350,Other
3360,Other
3370,Other
3370,Couronne_GP
3380,Couronne_GP
3380,GP
3380,Other
3390,Other
3400,GP
3400,Couronne_GP
3410,GP
3410,Couronne_GP
3420,Other
3420,Couronne_GP
3430,Other
3440,Other
3450,Other
3460,Couronne_GP
3470,Other
3500,Other
3500,Couronne_GP
3510,Other
3600,Other
3630,GP
3700,GP
3700,Couronne_GP
3800,Other
4000,GP
4000,Couronne_GP
4100,GP
4110,Other
4110,Couronne_GP
4120,Other
4120,Couronne_GP
4130,Couronne_GP
4140,Other
4140,Couronne_GP
4150,Other
4160,Other
4170,Other
4180,Couronne_GP
4190,Other
4200,Other
4210,Other
4220,GP
4230,Other
4240,Other
4250,Other
4260,Other
4270,Other
4270,Couronne_GP
4280,Other
4290,Other
4300,Other
4300,Couronne_GP
4310,Other
4320,Other
4330,Other
4330,Couronne_GP
4340,Other
4350,Other
4360,Other
4370,Other
4380,Other
4380,Couronne_GP
4400,Other
4410,Other
