"","zipcode","Urbanity","Region"
"1",1067,"Urban","Eastern"
"2",1069,"Urban","Eastern"
"3",1097,"Urban","Eastern"
"4",1099,"Urban","Eastern"
"5",1108,"Urban","Eastern"
"6",1109,"Urban","Eastern"
"7",1127,"Urban","Eastern"
"8",1129,"Urban","Eastern"
"9",1139,"Urban","Eastern"
"10",1156,"Urban","Eastern"
"11",1157,"Urban","Eastern"
"12",1159,"Urban","Eastern"
"13",1169,"Urban","Eastern"
"14",1187,"Urban","Eastern"
"15",1189,"Urban","Eastern"
"16",1217,"Urban","Eastern"
"17",1219,"Urban","Eastern"
"18",1237,"Urban","Eastern"
"19",1239,"Urban","Eastern"
"20",1257,"Urban","Eastern"
"21",1259,"Urban","Eastern"
"22",1277,"Urban","Eastern"
"23",1279,"Urban","Eastern"
"24",1307,"Urban","Eastern"
"25",1309,"Urban","Eastern"
"26",1324,"Urban","Eastern"
"27",1326,"Urban","Eastern"
"28",1328,"Urban","Eastern"
"29",1445,"Urban","Eastern"
"30",1454,"Rural","Eastern"
"31",1458,"Urban","Eastern"
"32",1462,"Rural","Eastern"
"33",1465,"Rural","Eastern"
"34",1468,"Rural","Eastern"
"35",1471,"Rural","Eastern"
"36",1477,"Rural","Eastern"
"37",1558,"Urban","Eastern"
"38",1561,"Rural","Eastern"
"39",1587,"Urban","Eastern"
"40",1589,"Urban","Eastern"
"41",1591,"Urban","Eastern"
"42",1594,"Rural","Eastern"
"43",1609,"Rural","Eastern"
"44",1612,"Rural","Eastern"
"45",1616,"Rural","Eastern"
"46",1619,"Rural","Eastern"
"47",1623,"Rural","Eastern"
"48",1640,"Urban","Eastern"
"49",1662,"Urban","Eastern"
"50",1665,"Rural","Eastern"
"51",1683,"Rural","Eastern"
"52",1689,"Urban","Eastern"
"53",1705,"Urban","Eastern"
"54",1723,"Rural","Eastern"
"55",1728,"Urban","Eastern"
"56",1731,"Rural","Eastern"
"57",1734,"Rural","Eastern"
"58",1737,"Rural","Eastern"
"59",1738,"Rural","Eastern"
"60",1744,"Urban","Eastern"
"61",1762,"Rural","Eastern"
"62",1768,"Rural","Eastern"
"63",1773,"Rural","Eastern"
