"zip","region"
10000,"Western Java"
10001,"Western Java"
10002,"Western Java"
10003,"Western Java"
10004,"Western Java"
10005,"Western Java"
10006,"Western Java"
10007,"Western Java"
10008,"Western Java"
10009,"Western Java"
10010,"Western Java"
10011,"Western Java"
10012,"Western Java"
10013,"Western Java"
10014,"Western Java"
10015,"Western Java"
10016,"Western Java"
10017,"Western Java"
10018,"Western Java"
10019,"Western Java"
10020,"Western Java"
10021,"Western Java"
10022,"Western Java"
10023,"Western Java"
10024,"Western Java"
10025,"Western Java"
10026,"Western Java"
10027,"Western Java"
10028,"Western Java"
10029,"Western Java"
10030,"Western Java"
10031,"Western Java"
10032,"Western Java"
10033,"Western Java"
10034,"Western Java"
10035,"Western Java"
10036,"Western Java"
10037,"Western Java"
10038,"Western Java"
10039,"Western Java"
10040,"Western Java"
10041,"Western Java"
10042,"Western Java"
10043,"Western Java"
10044,"Western Java"
10045,"Western Java"
10046,"Western Java"
10047,"Western Java"
10048,"Western Java"
10049,"Western Java"
10050,"Western Java"
10051,"Western Java"
10052,"Western Java"
10053,"Western Java"
10054,"Western Java"
10055,"Western Java"
10056,"Western Java"
10057,"Western Java"
10058,"Western Java"
10059,"Western Java"
10060,"Western Java"
10061,"Western Java"
10062,"Western Java"
10063,"Western Java"
10064,"Western Java"
10065,"Western Java"
10066,"Western Java"
10067,"Western Java"
10068,"Western Java"
10069,"Western Java"
10070,"Western Java"
10071,"Western Java"
10072,"Western Java"
10073,"Western Java"
10074,"Western Java"
10075,"Western Java"
10076,"Western Java"
10077,"Western Java"
10078,"Western Java"
10079,"Western Java"
10080,"Western Java"
10081,"Western Java"
10082,"Western Java"
10083,"Western Java"
10084,"Western Java"
10085,"Western Java"
10086,"Western Java"
10087,"Western Java"
10088,"Western Java"
10089,"Western Java"
10090,"Western Java"
10091,"Western Java"
10092,"Western Java"
10093,"Western Java"
10094,"Western Java"
10095,"Western Java"
10096,"Western Java"
10097,"Western Java"
10098,"Western Java"
10099,"Western Java"
10100,"Western Java"
10101,"Western Java"
10102,"Western Java"
10103,"Western Java"
