"Pincode","Region.Quota"
515631,"Southern"
515581,"Southern"
515571,"Southern"
515311,"Southern"
515281,"Southern"
515241,"Southern"
534176,"Southern"
813105,"Eastern"
813203,"Eastern"
853202,"Eastern"
813222,"Eastern"
812005,"Eastern"
853203,"Eastern"
812006,"Eastern"
853204,"Eastern"
813209,"Eastern"
530052,"Southern"
515871,"Southern"
515842,"Southern"
515803,"Southern"
515775,"Southern"
515405,"Southern"
515865,"Southern"
515455,"Southern"
515611,"Southern"
515867,"Southern"
515812,"Southern"
515832,"Southern"
515870,"Southern"
531173,"Southern"
531219,"Southern"
853205,"Eastern"
813210,"Eastern"
813108,"Eastern"
813212,"Eastern"
515101,"Southern"
503186,"Southern"
503180,"Southern"
503187,"Southern"
503101,"Southern"
503125,"Southern"
503112,"Southern"
344704,"Northern"
344032,"Northern"
342002,"Northern"
344706,"Northern"
503124,"Southern"
503309,"Southern"
503108,"Southern"
503302,"Southern"
503201,"Southern"
503306,"Southern"
503123,"Southern"
503102,"Southern"
516129,"Southern"
516237,"Southern"
516130,"Southern"
516151,"Southern"
147111,"Northern"
788162,"Eastern"
788150,"Eastern"
788801,"Eastern"
788161,"Eastern"
788152,"Eastern"
788155,"Eastern"
208001,"Central"
503310,"Southern"
503110,"Southern"
503145,"Southern"
503120,"Southern"
503235,"Southern"
503321,"Southern"
503185,"Southern"
503230,"Southern"
503202,"Southern"
503246,"Southern"
503305,"Southern"
273001,"Central"
505186,"Southern"
505153,"Southern"
505162,"Southern"
505152,"Southern"
505514,"Southern"
505187,"Southern"
505212,"Southern"
505525,"Southern"
505209,"Southern"
505188,"Southern"
505122,"Southern"
505498,"Southern"
524324,"Southern"
501301,"Southern"
500088,"Southern"
500100,"Southern"
501401,"Southern"
501102,"Southern"
500101,"Southern"
500078,"Southern"
501509,"Southern"
500043,"Southern"
500087,"Southern"
501505,"Southern"
500055,"Southern"
813207,"Eastern"
813110,"Eastern"
813109,"Eastern"
813107,"Eastern"
813211,"Eastern"
522658,"Southern"
522614,"Southern"
344011,"Northern"
342304,"Northern"
142049,"Northern"
503207,"Southern"
851210,"Eastern"
851127,"Eastern"
534239,"Southern"
534237,"Southern"
534247,"Southern"
534202,"Southern"
534243,"Southern"
534199,"Southern"
848201,"Eastern"
534134,"Southern"
502293,"Southern"
502284,"Southern"
851113,"Eastern"
851111,"Eastern"
851112,"Eastern"
503301,"Southern"
503206,"Southern"
503245,"Southern"
585447,"Southern"
585404,"Southern"
151214,"Northern"
503114,"Southern"
503144,"Southern"
503122,"Southern"
507204,"Southern"
507169,"Southern"
507208,"Southern"
507002,"Southern"
507168,"Southern"
507003,"Southern"
507158,"Southern"
507209,"Southern"
507122,"Southern"
851120,"Eastern"
848204,"Eastern"
851204,"Eastern"
851211,"Eastern"
847451,"Eastern"
851128,"Eastern"
502114,"Southern"
534238,"Southern"
534240,"Southern"
534206,"Southern"
534210,"Southern"
472445,"Central"
851213,"Eastern"
851214,"Eastern"
851201,"Eastern"
515231,"Southern"
515271,"Southern"
515164,"Southern"
515212,"Southern"
515303,"Southern"
515556,"Southern"
515661,"Southern"
515672,"Southern"
515521,"Southern"
783135,"Eastern"
827016,"Eastern"
515591,"Southern"
515641,"Southern"
515531,"Southern"
515541,"Southern"
515511,"Southern"
515551,"Southern"
515154,"Southern"
515501,"Southern"
515341,"Southern"
515286,"Southern"
515144,"Southern"
505129,"Southern"
505470,"Southern"
505505,"Southern"
505474,"Southern"
505475,"Southern"
505502,"Southern"
505490,"Southern"
505472,"Southern"
505101,"Southern"
505480,"Southern"
754031,"Eastern"
754028,"Eastern"
754027,"Eastern"
754037,"Eastern"
754022,"Eastern"
754290,"Eastern"
505497,"Southern"
505102,"Southern"
505471,"Southern"
505476,"Southern"
515133,"Southern"
515159,"Southern"
515651,"Southern"
141114,"Northern"
825103,"Eastern"
829143,"Eastern"
824304,"Eastern"
802204,"Eastern"
802158,"Eastern"
523264,"Southern"
523263,"Southern"
524221,"Southern"
524240,"Southern"
524152,"Southern"
524222,"Southern"
524236,"Southern"
523262,"Southern"
524223,"Southern"
524224,"Southern"
524239,"Southern"
501503,"Southern"
501121,"Southern"
501202,"Southern"
501111,"Southern"
501142,"Southern"
501501,"Southern"
501203,"Southern"
501141,"Southern"
813213,"Eastern"
822123,"Eastern"
531084,"Southern"
531114,"Southern"
531022,"Southern"
822132,"Eastern"
444602,"Western"
531126,"Southern"
516329,"Southern"
516293,"Southern"
516321,"Southern"
531149,"Southern"
501144,"Southern"
501504,"Southern"
524300,"Southern"
524142,"Southern"
852161,"Eastern"
534208,"Southern"
534204,"Southern"
534207,"Southern"
851118,"Eastern"
788163,"Eastern"
788165,"Eastern"
788734,"Eastern"
788736,"Eastern"
788737,"Eastern"
788166,"Eastern"
788735,"Eastern"
788156,"Eastern"
533274,"Southern"
533253,"Southern"
533250,"Southern"
533247,"Southern"
533229,"Southern"
533248,"Southern"
533238,"Southern"
533236,"Southern"
533251,"Southern"
533244,"Southern"
533249,"Southern"
515445,"Southern"
515002,"Southern"
825405,"Eastern"
533290,"Southern"
754025,"Eastern"
802205,"Eastern"
768033,"Eastern"
788806,"Eastern"
788723,"Eastern"
788733,"Eastern"
788701,"Eastern"
788725,"Eastern"
788726,"Eastern"
788728,"Eastern"
147007,"Northern"
140402,"Northern"
333517,"Northern"
847122,"Eastern"
331027,"Northern"
333020,"Northern"
333055,"Northern"
759151,"Eastern"
201001,"Central"
847227,"Eastern"
847232,"Eastern"
847421,"Eastern"
847231,"Eastern"
847214,"Eastern"
503003,"Southern"
575009,"Southern"
141110,"Northern"
802183,"Eastern"
802313,"Eastern"
802206,"Eastern"
802314,"Eastern"
802159,"Eastern"
847301,"Eastern"
282001,"Central"
501106,"Southern"
516213,"Southern"
781320,"Eastern"
781367,"Eastern"
781377,"Eastern"
781371,"Eastern"
788117,"Eastern"
788817,"Eastern"
788113,"Eastern"
788802,"Eastern"
383002,"Western"
383422,"Western"
343029,"Northern"
382430,"Western"
847104,"Eastern"
847302,"Eastern"
846003,"Eastern"
384330,"Western"
494230,"Central"
141008,"Northern"
504204,"Southern"
504201,"Southern"
504294,"Southern"
504302,"Southern"
504206,"Southern"
504207,"Southern"
504216,"Southern"
504205,"Southern"
504231,"Southern"
504214,"Southern"
504215,"Southern"
504209,"Southern"
504219,"Southern"
503307,"Southern"
503165,"Southern"
503175,"Southern"
503164,"Southern"
533237,"Southern"
515561,"Southern"
506342,"Southern"
507210,"Southern"
847204,"Eastern"
847427,"Eastern"
506112,"Southern"
506135,"Southern"
495116,"Central"
495004,"Central"
788816,"Eastern"
784171,"Eastern"
784149,"Eastern"
516193,"Southern"
516003,"Southern"
516269,"Southern"
516215,"Southern"
516002,"Southern"
516505,"Southern"
516268,"Southern"
516105,"Southern"
516501,"Southern"
516128,"Southern"
516101,"Southern"
494347,"Central"
494237,"Central"
494010,"Central"
494552,"Central"
503308,"Southern"
503218,"Southern"
503213,"Southern"
516247,"Southern"
516126,"Southern"
516152,"Southern"
516150,"Southern"
495224,"Central"
495112,"Central"
495222,"Central"
495550,"Central"
495113,"Central"
847105,"Eastern"
759147,"Eastern"
822112,"Eastern"
822129,"Eastern"
822114,"Eastern"
822133,"Eastern"
822120,"Eastern"
754023,"Eastern"
754296,"Eastern"
754024,"Eastern"
755013,"Eastern"
160055,"Northern"
755043,"Eastern"
755014,"Eastern"
639103,"Southern"
754082,"Eastern"
505425,"Southern"
755016,"Eastern"
754217,"Eastern"
754219,"Eastern"
754218,"Eastern"
754253,"Eastern"
754239,"Eastern"
754208,"Eastern"
754292,"Eastern"
754222,"Eastern"
754240,"Eastern"
754210,"Eastern"
754289,"Eastern"
754214,"Eastern"
754248,"Eastern"
754244,"Eastern"
754216,"Eastern"
754223,"Eastern"
505529,"Southern"
505460,"Southern"
754295,"Eastern"
754032,"Eastern"
802222,"Eastern"
802162,"Eastern"
533232,"Southern"
535525,"Southern"
535005,"Southern"
515763,"Southern"
515701,"Southern"
755017,"Eastern"
755018,"Eastern"
754205,"Eastern"
755036,"Eastern"
755027,"Eastern"
755003,"Eastern"
822121,"Eastern"
516401,"Southern"
335522,"Northern"
506105,"Southern"
506315,"Southern"
506368,"Southern"
506132,"Southern"
506104,"Southern"
506122,"Southern"
506102,"Southern"
506365,"Southern"
506369,"Southern"
506006,"Southern"
506330,"Southern"
495552,"Central"
495559,"Central"
495668,"Central"
495669,"Central"
515408,"Southern"
515415,"Southern"
515751,"Southern"
533107,"Southern"
535260,"Southern"
535126,"Southern"
535124,"Southern"
516349,"Southern"
517194,"Southern"
517305,"Southern"
517152,"Southern"
517297,"Southern"
517213,"Southern"
517236,"Southern"
517234,"Southern"
847304,"Eastern"
847121,"Eastern"
847107,"Eastern"
846009,"Eastern"
847115,"Eastern"
847306,"Eastern"
846005,"Eastern"
847307,"Eastern"
847337,"Eastern"
846007,"Eastern"
847123,"Eastern"
847202,"Eastern"
305813,"Northern"
305811,"Northern"
741123,"Eastern"
305004,"Northern"
786003,"Eastern"
786184,"Eastern"
786004,"Eastern"
786101,"Eastern"
786602,"Eastern"
786614,"Eastern"
786001,"Eastern"
785676,"Eastern"
785675,"Eastern"
786010,"Eastern"
786012,"Eastern"
786610,"Eastern"
786621,"Eastern"
786611,"Eastern"
847101,"Eastern"
847203,"Eastern"
845432,"Eastern"
845433,"Eastern"
845305,"Eastern"
845434,"Eastern"
845435,"Eastern"
845456,"Eastern"
845436,"Eastern"
845437,"Eastern"
506103,"Southern"
506007,"Southern"
847303,"Eastern"
495663,"Central"
501143,"Southern"
501502,"Southern"
501158,"Southern"
524421,"Southern"
524126,"Southern"
524323,"Southern"
524129,"Southern"
524345,"Southern"
524121,"Southern"
524408,"Southern"
524313,"Southern"
524366,"Southern"
524303,"Southern"
524308,"Southern"
524302,"Southern"
524002,"Southern"
524311,"Southern"
524318,"Southern"
524319,"Southern"
500036,"Southern"
523171,"Southern"
523190,"Southern"
523167,"Southern"
523181,"Southern"
523184,"Southern"
523169,"Southern"
523157,"Southern"
523185,"Southern"
523170,"Southern"
847106,"Eastern"
845401,"Eastern"
841302,"Eastern"
786103,"Eastern"
786612,"Eastern"
787033,"Eastern"
784161,"Eastern"
787055,"Eastern"
503225,"Southern"
503212,"Southern"
503219,"Southern"
503311,"Southern"
503223,"Southern"
494635,"Central"
494335,"Central"
494332,"Central"
523281,"Southern"
523271,"Southern"
500005,"Southern"
500113,"Southern"
501359,"Southern"
501218,"Southern"
500112,"Southern"
501506,"Southern"
501510,"Southern"
494111,"Central"
494442,"Central"
494115,"Central"
507182,"Southern"
507159,"Southern"
491441,"Central"
535463,"Southern"
535523,"Southern"
503188,"Southern"
535594,"Southern"
535521,"Southern"
535524,"Southern"
535526,"Southern"
535534,"Southern"
535582,"Southern"
488059,"Central"
212308,"Central"
522646,"Southern"
522401,"Southern"
533436,"Southern"
533291,"Southern"
533446,"Southern"
533408,"Southern"
533401,"Southern"
501508,"Southern"
501512,"Southern"
501511,"Southern"
500039,"Southern"
786008,"Eastern"
786191,"Eastern"
494448,"Central"
508253,"Southern"
506003,"Southern"
534267,"Southern"
848202,"Eastern"
851129,"Eastern"
851130,"Eastern"
851203,"Eastern"
851205,"Eastern"
502303,"Southern"
851212,"Eastern"
851215,"Eastern"
851216,"Eastern"
848203,"Eastern"
851206,"Eastern"
852129,"Eastern"
851131,"Eastern"
851117,"Eastern"
851217,"Eastern"
851132,"Eastern"
851218,"Eastern"
851133,"Eastern"
851134,"Eastern"
852219,"Eastern"
852128,"Eastern"
852132,"Eastern"
852130,"Eastern"
852131,"Eastern"
534222,"Southern"
534004,"Southern"
534425,"Southern"
534448,"Southern"
852126,"Eastern"
852127,"Eastern"
500090,"Southern"
524405,"Southern"
515741,"Southern"
532148,"Southern"
852221,"Eastern"
532455,"Southern"
532457,"Southern"
518196,"Southern"
518543,"Southern"
518124,"Southern"
518523,"Southern"
518553,"Southern"
822124,"Eastern"
822134,"Eastern"
533007,"Southern"
517505,"Southern"
508245,"Southern"
508244,"Southern"
508373,"Southern"
508254,"Southern"
508266,"Southern"
508002,"Southern"
508256,"Southern"
503217,"Southern"
500075,"Southern"
500089,"Southern"
999999,"Southern"
534406,"Southern"
534460,"Southern"
534462,"Southern"
534426,"Southern"
534455,"Southern"
534456,"Southern"
534449,"Southern"
534311,"Southern"
534312,"Southern"
534475,"Southern"
534451,"Southern"
783385,"Eastern"
532187,"Southern"
533440,"Southern"
518583,"Southern"
518593,"Southern"
523331,"Southern"
755025,"Eastern"
755004,"Eastern"
755005,"Eastern"
755062,"Eastern"
755026,"Eastern"
848506,"Eastern"
848216,"Eastern"
848113,"Eastern"
848207,"Eastern"
802163,"Eastern"
755007,"Eastern"
755008,"Eastern"
755024,"Eastern"
755019,"Eastern"
755023,"Eastern"
753004,"Eastern"
754131,"Eastern"
754021,"Eastern"
754130,"Eastern"
755006,"Eastern"
755009,"Eastern"
523346,"Southern"
523328,"Southern"
523368,"Southern"
523369,"Southern"
384440,"Western"
506310,"Southern"
506314,"Southern"
506166,"Southern"
504299,"Southern"
506317,"Southern"
506008,"Southern"
506163,"Southern"
846004,"Eastern"
385320,"Western"
383030,"Western"
385505,"Western"
385535,"Western"
495220,"Central"
506318,"Southern"
516104,"Southern"
517129,"Southern"
784175,"Eastern"
788815,"Eastern"
815352,"Eastern"
518302,"Southern"
518395,"Southern"
518347,"Southern"
518348,"Southern"
518333,"Southern"
518346,"Southern"
518308,"Southern"
518350,"Southern"
518344,"Southern"
518313,"Southern"
