"CAP","Urbanity.CAP","Region.quota"
10,"Rural","Center"
12,"Small_Cities","Center"
13,"Small_Cities","Center"
15,"Small_Cities","Center"
17,"Rural","Center"
18,"Small_Cities","Center"
19,"Small_Cities","Center"
20,"Rural","Center"
21,"Rural","Center"
22,"Rural","Center"
23,"Rural","Center"
24,"Small_Cities","Center"
25,"Rural","Center"
26,"Rural","Center"
27,"Rural","Center"
28,"Small_Cities","Center"
29,"Rural","Center"
30,"Small_Cities","Center"
31,"Small_Cities","Center"
32,"Rural","Center"
33,"Small_Cities","Center"
34,"Small_Cities","Center"
35,"Small_Cities","Center"
36,"Small_Cities","Center"
37,"Small_Cities","Center"
38,"Small_Cities","Center"
39,"Small_Cities","Center"
40,"Small_Cities","Center"
41,"Small_Cities","Center"
42,"Cities","Center"
43,"Small_Cities","Center"
44,"Small_Cities","Center"
45,"Small_Cities","Center"
46,"Small_Cities","Center"
47,"Small_Cities","Center"
48,"Small_Cities","Center"
49,"Small_Cities","Center"
51,"Rural","Center"
52,"Small_Cities","Center"
53,"Small_Cities","Center"
54,"Small_Cities","Center"
55,"Small_Cities","Center"
58,"Small_Cities","Center"
59,"Rural","Center"
60,"Small_Cities","Center"
61,"Small_Cities","Center"
62,"Small_Cities","Center"
63,"Small_Cities","Center"
65,"Small_Cities","Center"
66,"Small_Cities","Center"
67,"Small_Cities","Center"
68,"Small_Cities","Center"
69,"Rural","Center"
71,"Cities","Center"
72,"Cities","Center"
73,"Small_Cities","Center"
74,"Small_Cities","Center"
75,"Small_Cities","Center"
76,"Rural","Center"
77,"Small_Cities","Center"
78,"Rural","Center"
79,"Rural","Center"
1010,"Rural","Center"
1011,"Rural","Center"
1012,"Small_Cities","Center"
1014,"Rural","Center"
1015,"Small_Cities","Center"
1016,"Small_Cities","Center"
1017,"Small_Cities","Center"
1018,"Rural","Center"
1019,"Small_Cities","Center"
1020,"Rural","Center"
1021,"Rural","Center"
1022,"Rural","Center"
1023,"Rural","Center"
1024,"Rural","Center"
1025,"Rural","Center"
1027,"Small_Cities","Center"
1028,"Rural","Center"
1030,"Rural","Center"
1032,"Rural","Center"
1033,"Small_Cities","Center"
1034,"Rural","Center"
1035,"Rural","Center"
1036,"Small_Cities","Center"
1037,"Small_Cities","Center"
1038,"Small_Cities","Center"
1039,"Small_Cities","Center"
1100,"Small_Cities","Center"
2010,"Rural","Center"
2011,"Rural","Center"
2012,"Rural","Center"
2013,"Rural","Center"
2014,"Rural","Center"
2015,"Rural","Center"
2016,"Rural","Center"
2018,"Rural","Center"
2019,"Rural","Center"
2020,"Rural","Center"
2021,"Rural","Center"
2022,"Rural","Center"
2023,"Rural","Center"
2024,"Rural","Center"
2025,"Rural","Center"
2026,"Rural","Center"
2030,"Rural","Center"
2031,"Rural","Center"
2032,"Rural","Center"
2033,"Rural","Center"
2034,"Rural","Center"
2035,"Rural","Center"
2037,"Rural","Center"
2038,"Rural","Center"
2039,"Rural","Center"
2040,"Rural","Center"
2041,"Rural","Center"
2042,"Rural","Center"
2043,"Rural","Center"
2044,"Rural","Center"
2045,"Rural","Center"
2046,"Rural","Center"
2047,"Rural","Center"
2048,"Rural","Center"
2049,"Rural","Center"
2100,"Small_Cities","Center"
3010,"Rural","Center"
3011,"Small_Cities","Center"
3012,"Small_Cities","Center"
3013,"Small_Cities","Center"
3014,"Small_Cities","Center"
3016,"Rural","Center"
3017,"Rural","Center"
3018,"Rural","Center"
3019,"Rural","Center"
3020,"Rural","Center"
3021,"Rural","Center"
3022,"Small_Cities","Center"
3023,"Small_Cities","Center"
3024,"Small_Cities","Center"
3025,"Small_Cities","Center"
3026,"Rural","Center"
3027,"Rural","Center"
3028,"Rural","Center"
3029,"Small_Cities","Center"
3030,"Rural","Center"
3031,"Small_Cities","Center"
3032,"Rural","Center"
3033,"Rural","Center"
3034,"Rural","Center"
3035,"Small_Cities","Center"
3036,"Small_Cities","Center"
3037,"Small_Cities","Center"
3038,"Rural","Center"
3039,"Small_Cities","Center"
3040,"Rural","Center"
3041,"Rural","Center"
3042,"Rural","Center"
3043,"Small_Cities","Center"
3044,"Small_Cities","Center"
3045,"Rural","Center"
3046,"Rural","Center"
3047,"Rural","Center"
3048,"Rural","Center"
3049,"Rural","Center"
3100,"Small_Cities","Center"
4010,"Rural","Center"
4011,"Small_Cities","Center"
4012,"Small_Cities","Center"
4013,"Rural","Center"
4014,"Rural","Center"
4015,"Small_Cities","Center"
4016,"Small_Cities","Center"
4017,"Small_Cities","Center"
4018,"Small_Cities","Center"
4019,"Small_Cities","Center"
4020,"Small_Cities","Center"
4021,"Rural","Center"
4022,"Small_Cities","Center"
4023,"Small_Cities","Center"
4024,"Small_Cities","Center"
4025,"Rural","Center"
4026,"Small_Cities","Center"
4027,"Rural","Center"
4029,"Rural","Center"
4100,"Cities","Center"
5010,"Rural","Center"
5011,"Rural","Center"
5012,"Rural","Center"
5013,"Rural","Center"
5014,"Rural","Center"
5015,"Rural","Center"
5016,"Rural","Center"
5017,"Rural","Center"
5018,"Small_Cities","Center"
5020,"Rural","Center"
5021,"Rural","Center"
5022,"Small_Cities","Center"
5023,"Rural","Center"
5024,"Rural","Center"
5025,"Rural","Center"
5026,"Rural","Center"
5028,"Rural","Center"
5029,"Rural","Center"
5030,"Rural","Center"
5031,"Rural","Center"
5032,"Rural","Center"
5034,"Rural","Center"
5035,"Small_Cities","Center"
5039,"Rural","Center"
5100,"Cities","Center"
6010,"Rural","Center"
6012,"Small_Cities","Center"
6014,"Rural","Center"
6016,"Small_Cities","Center"
6019,"Small_Cities","Center"
6021,"Rural","Center"
6022,"Rural","Center"
6023,"Small_Cities","Center"
6024,"Small_Cities","Center"
6025,"Rural","Center"
6026,"Rural","Center"
6027,"Rural","Center"
6028,"Rural","Center"
6029,"Rural","Center"
6030,"Rural","Center"
6031,"Rural","Center"
6033,"Rural","Center"
6034,"Small_Cities","Center"
6035,"Rural","Center"
6036,"Rural","Center"
6038,"Small_Cities","Center"
6039,"Rural","Center"
6040,"Rural","Center"
6041,"Rural","Center"
6042,"Rural","Center"
6043,"Rural","Center"
6044,"Rural","Center"
6045,"Rural","Center"
6046,"Rural","Center"
6047,"Rural","Center"
6049,"Small_Cities","Center"
6050,"Rural","Center"
6053,"Small_Cities","Center"
6054,"Rural","Center"
6055,"Rural","Center"
6056,"Rural","Center"
6057,"Rural","Center"
6059,"Rural","Center"
6060,"Rural","Center"
6061,"Rural","Center"
6062,"Rural","Center"
6063,"Small_Cities","Center"
6064,"Rural","Center"
6065,"Rural","Center"
6066,"Rural","Center"
6069,"Rural","Center"
6073,"Small_Cities","Center"
6081,"Small_Cities","Center"
6083,"Small_Cities","Center"
6084,"Rural","Center"
6089,"Rural","Center"
7010,"Rural","Islands"
