"small.zip","Region","Rural.urban"
"47022","Chubu","Rural"
"49600","Chubu","Rural"
"49680","Chubu","Rural"
"49609","Chubu","Rural"
"49012","Chubu","Rural"
"49011","Chubu","Rural"
"49700","Chubu","Rural"
"44600","Chubu","Urban"
"44412","Chubu","Urban"
"44411","Chubu","Urban"
"47200","Chubu","Rural"
"47800","Chubu","Rural"
"48001","Chubu","Rural"
"44300","Chubu","Rural"
"44301","Chubu","Rural"
"47500","Chubu","Urban"
"47508","Chubu","Urban"
"47509","Chubu","Urban"
"44700","Chubu","Rural"
"44708","Chubu","Rural"
"47021","Chubu","Rural"
"49100","Chubu","Urban"
"49108","Chubu","Urban"
"49101","Chubu","Urban"
"49109","Chubu","Urban"
"49102","Chubu","Urban"
"49400","Chubu","Urban"
"49300","Chubu","Urban"
"49380","Chubu","Urban"
"49103","Chubu","Urban"
"49200","Chubu","Urban"
"49280","Chubu","Urban"
"49283","Chubu","Urban"
"49282","Chubu","Urban"
"49284","Chubu","Urban"
"49281","Chubu","Urban"
"49500","Chubu","Urban"
"49013","Chubu","Urban"
"48400","Chubu","Rural"
"48409","Chubu","Rural"
"48408","Chubu","Rural"
"48200","Chubu","Rural"
"44800","Chubu","Urban"
"44808","Chubu","Urban"
"48600","Chubu","Urban"
"48609","Chubu","Urban"
"48003","Chubu","Urban"
"48608","Chubu","Urban"
"48700","Chubu","Urban"
"48100","Chubu","Rural"
"45200","Chubu","Rural"
"45209","Chubu","Rural"
"48500","Chubu","Urban"
"48508","Chubu","Urban"
"48300","Chubu","Rural"
"48382","Chubu","Rural"
"48381","Chubu","Rural"
"48383","Chubu","Rural"
"48380","Chubu","Rural"
"48384","Chubu","Rural"
"44401","Chubu","Rural"
"47032","Chubu","Rural"
"47024","Chubu","Rural"
"47033","Chubu","Rural"
"47035","Chubu","Rural"
"47034","Chubu","Rural"
"47002","Chubu","Rural"
"48011","Chubu","Rural"
"48013","Chubu","Rural"
"45600","Chubu","Rural"
"46400","Chubu","Urban"
"46408","Chubu","Urban"
"46100","Chubu","Rural"
"46200","Chubu","Urban"
"46208","Chubu","Urban"
"46500","Chubu","Urban"
"45800","Chubu","Urban"
"45808","Chubu","Urban"
"45809","Chubu","Urban"
"45980","Chubu","Urban"
"45700","Chubu","Urban"
"45708","Chubu","Urban"
"45500","Chubu","Urban"
"45508","Chubu","Urban"
"46700","Chubu","Urban"
"46708","Chubu","Urban"
"46300","Chubu","Urban"
"46308","Chubu","Urban"
"46000","Chubu","Rural"
"45400","Chubu","Urban"
"45408","Chubu","Urban"
"45409","Chubu","Urban"
"45300","Chubu","Urban"
"45308","Chubu","Urban"
"45000","Chubu","Urban"
"45361","Chubu","Urban"
"45066","Chubu","Urban"
"45060","Chubu","Urban"
"45063","Chubu","Urban"
"45064","Chubu","Urban"
"45062","Chubu","Urban"
"45100","Chubu","Urban"
"45208","Chubu","Urban"
"45160","Chubu","Urban"
"46600","Chubu","Urban"
"46608","Chubu","Urban"
"46800","Chubu","Urban"
"46808","Chubu","Urban"
"44500","Chubu","Urban"
"44508","Chubu","Urban"
"44404","Chubu","Urban"
"44403","Chubu","Urban"
"44405","Chubu","Urban"
"44407","Chubu","Urban"
"47001","Chubu","Rural"
"47400","Chubu","Rural"
"44400","Chubu","Urban"
"44409","Chubu","Urban"
"44421","Chubu","Urban"
"44402","Chubu","Urban"
"44436","Chubu","Urban"
"44431","Chubu","Urban"
"44435","Chubu","Urban"
"44434","Chubu","Urban"
"44433","Chubu","Urban"
"44408","Chubu","Urban"
"48800","Chubu","Rural"
"48808","Chubu","Rural"
"48900","Chubu","Urban"
"48908","Chubu","Urban"
"48909","Chubu","Urban"
"48012","Chubu","Urban"
"44113","Chubu","Rural"
"44119","Chubu","Rural"
"44116","Chubu","Rural"
"44115","Chubu","Rural"
"44114","Chubu","Rural"
"44123","Chubu","Rural"
"44124","Chubu","Rural"
"44122","Chubu","Rural"
"44126","Chubu","Rural"
"44125","Chubu","Urban"
"44134","Chubu","Rural"
"44135","Chubu","Rural"
"44136","Chubu","Rural"
"44413","Chubu","Rural"
"47023","Chubu","Rural"
"47025","Chubu","Rural"
"49014","Chubu","Rural"
"44902","Chubu","Rural"
"47600","Chubu","Urban"
"47700","Chubu","Urban"
"47900","Chubu","Rural"
"47908","Chubu","Rural"
"47011","Chubu","Rural"
"44100","Chubu","Urban"
"44180","Chubu","Urban"
"44000","Chubu","Urban"
"44181","Chubu","Urban"
"44008","Chubu","Urban"
"44132","Chubu","Urban"
"44111","Chubu","Urban"
"44131","Chubu","Urban"
"44101","Chubu","Urban"
"44133","Chubu","Urban"
"44200","Chubu","Urban"
"44102","Chubu","Urban"
"44208","Chubu","Urban"
"44112","Chubu","Urban"
"44103","Chubu","Urban"
"44904","Chubu","Rural"
"43141","Chubu","Rural"
"47100","Chubu","Urban"
"47003","Chubu","Urban"
"47108","Chubu","Urban"
"44428","Chubu","Urban"
"44424","Chubu","Urban"
"44426","Chubu","Urban"
"44425","Chubu","Urban"
"44432","Chubu","Urban"
"47309","Chubu","Urban"
"47004","Chubu","Urban"
"47005","Chubu","Urban"
"44423","Chubu","Urban"
"44422","Chubu","Urban"
"47012","Chubu","Urban"
"48002","Chubu","Rural"
"49608","Chubu","Rural"
"49800","Chubu","Rural"
"01000","North","Urban"
"01008","North","Urban"
"01016","North","Urban"
"01109","North","Urban"
"01009","North","Urban"
"01014","North","Urban"
"01001","North","Urban"
"01926","North","Urban"
"01927","North","Urban"
"01015","North","Urban"
"01011","North","Urban"
"01012","North","Urban"
"01013","North","Urban"
"01400","North","Rural"
"01401","North","Rural"
"01922","North","Rural"
"01407","North","Rural"
"01921","North","Rural"
"01916","North","Rural"
"01923","North","Rural"
"01414","North","Rural"
"01402","North","Rural"
"01917","North","Rural"
"01924","North","Rural"
"01925","North","Rural"
"01408","North","Rural"
"01919","North","Rural"
"01918","North","Rural"
"01832","North","Rural"
"01817","North","Rural"
"01818","North","Rural"
"01816","North","Rural"
"01825","North","Rural"
"01826","North","Rural"
"01908","North","Rural"
"01815","North","Rural"
"01844","North","Rural"
"01814","North","Rural"
"01002","North","Rural"
"01852","North","Rural"
"01853","North","Rural"
"01854","North","Rural"
"01851","North","Rural"
"01833","North","Rural"
"01846","North","Rural"
"01847","North","Rural"
"01845","North","Rural"
"01843","North","Rural"
"01842","North","Rural"
"01834","North","Rural"
"01702","North","Rural"
"01855","North","Rural"
"01914","North","Rural"
"01915","North","Rural"
"01912","North","Rural"
"01913","North","Rural"
"01824","North","Rural"
"01821","North","Rural"
"01823","North","Rural"
"01804","North","Rural"
"01803","North","Rural"
"01801","North","Rural"
"01600","North","Rural"
"01608","North","Rural"
"01601","North","Rural"
"01828","North","Rural"
"01831","North","Rural"
"01700","North","Rural"
"01708","North","Rural"
"01835","North","Rural"
"01857","North","Rural"
"01856","North","Rural"
"01858","North","Rural"
"01005","North","Rural"
"01003","North","Rural"
"01004","North","Rural"
"01006","North","Rural"
"01403","North","Rural"
"01411","North","Rural"
"01412","North","Rural"
"01405","North","Rural"
"01406","North","Rural"
"01211","North","Rural"
"01213","North","Rural"
"01212","North","Rural"
"01300","North","Rural"
"01305","North","Rural"
"01302","North","Rural"
"01304","North","Rural"
"01308","North","Rural"
"01911","North","Rural"
"01905","North","Rural"
"01303","North","Rural"
"01301","North","Rural"
"01907","North","Rural"
"01500","North","Rural"
"01508","North","Rural"
"01503","North","Rural"
"01812","North","Rural"
"01813","North","Rural"
"01809","North","Rural"
"01807","North","Rural"
"01808","North","Rural"
"01505","North","Rural"
"01507","North","Rural"
"01806","North","Rural"
"01502","North","Rural"
"01504","North","Rural"
"01200","North","Rural"
"01904","North","Rural"
"01903","North","Rural"
"01208","North","Rural"
"01902","North","Rural"
"01201","North","Rural"
"01901","North","Rural"
"03827","North","Rural"
"03800","North","Urban"
"03008","North","Urban"
"03009","North","Urban"
"03935","North","Urban"
"03001","North","Urban"
"03012","North","Urban"
"03813","North","Urban"
"03838","North","Urban"
"03812","North","Rural"
"03823","North","Rural"
"03825","North","Rural"
"03822","North","Rural"
"03824","North","Rural"
"03915","North","Rural"
"03923","North","Rural"
"03917","North","Rural"
"03700","North","Rural"
"03704","North","Rural"
"03706","North","Rural"
"03702","North","Rural"
"03100","North","Urban"
"03108","North","Urban"
"03911","North","Urban"
"03922","North","Urban"
"03101","North","Urban"
"03102","North","Urban"
"03912","North","Rural"
"03500","North","Rural"
"03501","North","Rural"
"03942","North","Rural"
"03601","North","Rural"
"03602","North","Rural"
"03801","North","Rural"
"03933","North","Rural"
"03600","North","Urban"
"03615","North","Urban"
"03682","North","Urban"
"03836","North","Urban"
"03680","North","Urban"
"03613","North","Urban"
"03683","North","Urban"
"03681","North","Urban"
"03612","North","Urban"
"03614","North","Urban"
"03015","North","Rural"
"03811","North","Rural"
"03945","North","Rural"
"03603","North","Rural"
"03605","North","Rural"
"03604","North","Rural"
"03300","North","Rural"
"03301","North","Rural"
"03944","North","Rural"
"03952","North","Rural"
"03953","North","Rural"
"03947","North","Rural"
"03703","North","Rural"
