"","Postal.Code","Region","Rural.urban"
"1",4968034,"Chubu","Rural"
"2",4968044,"Chubu","Rural"
"3",4960945,"Chubu","Rural"
"4",4968011,"Chubu","Rural"
"5",4960000,"Chubu","Rural"
"6",4968046,"Chubu","Rural"
"7",4968003,"Chubu","Rural"
"8",4968041,"Chubu","Rural"
"9",4968038,"Chubu","Rural"
"10",4960924,"Chubu","Rural"
"11",4968035,"Chubu","Rural"
"12",4968043,"Chubu","Rural"
"13",4960941,"Chubu","Rural"
"14",4960947,"Chubu","Rural"
"15",4968037,"Chubu","Rural"
"16",4960912,"Chubu","Rural"
"17",4968015,"Chubu","Rural"
"18",4960938,"Chubu","Rural"
"19",4960942,"Chubu","Rural"
"20",4968040,"Chubu","Rural"
"21",4960943,"Chubu","Rural"
"22",4968010,"Chubu","Rural"
"23",4960902,"Chubu","Rural"
"24",4968007,"Chubu","Rural"
"25",4968014,"Chubu","Rural"
"26",4960931,"Chubu","Rural"
"27",4968013,"Chubu","Rural"
"28",4960921,"Chubu","Rural"
"29",4960922,"Chubu","Rural"
"30",4968017,"Chubu","Rural"
"31",4968005,"Chubu","Rural"
"32",4968030,"Chubu","Rural"
"33",4960904,"Chubu","Rural"
"34",4960907,"Chubu","Rural"
"35",4960936,"Chubu","Rural"
"36",4960934,"Chubu","Rural"
"37",4960923,"Chubu","Rural"
"38",4968042,"Chubu","Rural"
"39",4968039,"Chubu","Rural"
"40",4968012,"Chubu","Rural"
"41",4960937,"Chubu","Rural"
"42",4968006,"Chubu","Rural"
"43",4968045,"Chubu","Rural"
"44",4968049,"Chubu","Rural"
"45",4960935,"Chubu","Rural"
"46",4968016,"Chubu","Rural"
"47",4968032,"Chubu","Rural"
"48",4968001,"Chubu","Rural"
"49",4960932,"Chubu","Rural"
"50",4968020,"Chubu","Rural"
"51",4968008,"Chubu","Rural"
"52",4960903,"Chubu","Rural"
"53",4968031,"Chubu","Rural"
"54",4960939,"Chubu","Rural"
"55",4968004,"Chubu","Rural"
"56",4968002,"Chubu","Rural"
"57",4960901,"Chubu","Rural"
"58",4960913,"Chubu","Rural"
"59",4968048,"Chubu","Rural"
"60",4968009,"Chubu","Rural"
"61",4960946,"Chubu","Rural"
"62",4960944,"Chubu","Rural"
"63",4960911,"Chubu","Rural"
"64",4960914,"Chubu","Rural"
"65",4960915,"Chubu","Rural"
"66",4968018,"Chubu","Rural"
"67",4960908,"Chubu","Rural"
"68",4968036,"Chubu","Rural"
"69",4968047,"Chubu","Rural"
"70",4968033,"Chubu","Rural"
"71",4960906,"Chubu","Rural"
"72",4960908,"Chubu","Rural"
"73",4960909,"Chubu","Rural"
"74",4960905,"Chubu","Rural"
"75",4968019,"Chubu","Rural"
"76",4960933,"Chubu","Rural"
"77",4901225,"Chubu","Rural"
"78",4901104,"Chubu","Rural"
"79",4901207,"Chubu","Rural"
"80",4901205,"Chubu","Rural"
"81",4901206,"Chubu","Rural"
"82",4970006,"Chubu","Rural"
"83",4901111,"Chubu","Rural"
"84",4970012,"Chubu","Rural"
"85",4901201,"Chubu","Rural"
"86",4901101,"Chubu","Rural"
"87",4901203,"Chubu","Rural"
"88",4901204,"Chubu","Rural"
"89",4901112,"Chubu","Rural"
"90",4901106,"Chubu","Rural"
"91",4970011,"Chubu","Rural"
"92",4901211,"Chubu","Rural"
"93",4901114,"Chubu","Rural"
"94",4901212,"Chubu","Rural"
"95",4901226,"Chubu","Rural"
"96",4901224,"Chubu","Rural"
"97",4970005,"Chubu","Rural"
"98",4970014,"Chubu","Rural"
"99",4901213,"Chubu","Rural"
"100",4901102,"Chubu","Rural"
"101",4901222,"Chubu","Rural"
"102",4901214,"Chubu","Rural"
"103",4970015,"Chubu","Rural"
"104",4970016,"Chubu","Rural"
"105",4901223,"Chubu","Rural"
"106",4901116,"Chubu","Rural"
"107",4901105,"Chubu","Rural"
"108",4901113,"Chubu","Rural"
"109",4970004,"Chubu","Rural"
"110",4970003,"Chubu","Rural"
"111",4970013,"Chubu","Rural"
"112",4970002,"Chubu","Rural"
"113",4901200,"Chubu","Rural"
"114",4970001,"Chubu","Rural"
"115",4901103,"Chubu","Rural"
"116",4901115,"Chubu","Rural"
"117",4901202,"Chubu","Rural"
"118",4901107,"Chubu","Rural"
"119",4901221,"Chubu","Rural"
"120",4460011,"Chubu","Urban"
"121",4460042,"Chubu","Urban"
