d_codigo,Region.quota,Rural.quota
01000,Central-Eastern,Urbano
01010,Central-Eastern,Urbano
01020,Central-Eastern,Urbano
01030,Central-Eastern,Urbano
01040,Central-Eastern,Urbano
01049,Central-Eastern,Urbano
01050,Central-Eastern,Urbano
01060,Central-Eastern,Urbano
01070,Central-Eastern,Urbano
01080,Central-Eastern,Urbano
01089,Central-Eastern,Urbano
01090,Central-Eastern,Urbano
01100,Central-Eastern,Urbano
01109,Central-Eastern,Urbano
01110,Central-Eastern,Urbano
01120,Central-Eastern,Urbano
01125,Central-Eastern,Urbano
01130,Central-Eastern,Urbano
01139,Central-Eastern,Urbano
01140,Central-Eastern,Urbano
01150,Central-Eastern,Urbano
01160,Central-Eastern,Urbano
01170,Central-Eastern,Urbano
01180,Central-Eastern,Urbano
01200,Central-Eastern,Urbano
01210,Central-Eastern,Urbano
01219,Central-Eastern,Urbano
01220,Central-Eastern,Urbano
01230,Central-Eastern,Urbano
01239,Central-Eastern,Urbano
01240,Central-Eastern,Urbano
01250,Central-Eastern,Urbano
01259,Central-Eastern,Urbano
01260,Central-Eastern,Urbano
01269,Central-Eastern,Urbano
01270,Central-Eastern,Urbano
01275,Central-Eastern,Urbano
01276,Central-Eastern,Urbano
01278,Central-Eastern,Urbano
01279,Central-Eastern,Urbano
01280,Central-Eastern,Urbano
01285,Central-Eastern,Urbano
01289,Central-Eastern,Urbano
01290,Central-Eastern,Urbano
01296,Central-Eastern,Urbano
01298,Central-Eastern,Urbano
01299,Central-Eastern,Urbano
01310,Central-Eastern,Urbano
01320,Central-Eastern,Urbano
01330,Central-Eastern,Urbano
01340,Central-Eastern,Urbano
01376,Central-Eastern,Urbano
01377,Central-Eastern,Urbano
01389,Central-Eastern,Urbano
01400,Central-Eastern,Urbano
01407,Central-Eastern,Urbano
01408,Central-Eastern,Urbano
01410,Central-Eastern,Urbano
01419,Central-Eastern,Urbano
01420,Central-Eastern,Urbano
01430,Central-Eastern,Urbano
01450,Central-Eastern,Urbano
01460,Central-Eastern,Urbano
01470,Central-Eastern,Urbano
01480,Central-Eastern,Urbano
01490,Central-Eastern,Urbano
01500,Central-Eastern,Urbano
01509,Central-Eastern,Urbano
01510,Central-Eastern,Urbano
01520,Central-Eastern,Urbano
01530,Central-Eastern,Urbano
01538,Central-Eastern,Urbano
01539,Central-Eastern,Urbano
01540,Central-Eastern,Urbano
01548,Central-Eastern,Urbano
01549,Central-Eastern,Urbano
01550,Central-Eastern,Urbano
01560,Central-Eastern,Urbano
01566,Central-Eastern,Urbano
01569,Central-Eastern,Urbano
01588,Central-Eastern,Urbano
01590,Central-Eastern,Urbano
01600,Central-Eastern,Urbano
01610,Central-Eastern,Urbano
01618,Central-Eastern,Urbano
01619,Central-Eastern,Urbano
01620,Central-Eastern,Urbano
01630,Central-Eastern,Urbano
01640,Central-Eastern,Urbano
01645,Central-Eastern,Urbano
01650,Central-Eastern,Urbano
01700,Central-Eastern,Urbano
01708,Central-Eastern,Urbano
01710,Central-Eastern,Urbano
01720,Central-Eastern,Urbano
01729,Central-Eastern,Urbano
01730,Central-Eastern,Urbano
01740,Central-Eastern,Urbano
01750,Central-Eastern,Urbano
01759,Central-Eastern,Urbano
01760,Central-Eastern,Urbano
01770,Central-Eastern,Urbano
01780,Central-Eastern,Urbano
01789,Central-Eastern,Urbano
01790,Central-Eastern,Urbano
01800,Central-Eastern,Urbano
01807,Central-Eastern,Urbano
01810,Central-Eastern,Urbano
01820,Central-Eastern,Urbano
01830,Central-Eastern,Urbano
01840,Central-Eastern,Urbano
01849,Central-Eastern,Urbano
01857,Central-Eastern,Urbano
01859,Central-Eastern,Urbano
01860,Central-Eastern,Urbano
01863,Central-Eastern,Urbano
01870,Central-Eastern,Urbano
01900,Central-Eastern,Urbano
01904,Central-Eastern,Urbano
02000,Central-Eastern,Urbano
02010,Central-Eastern,Urbano
02020,Central-Eastern,Urbano
02040,Central-Eastern,Urbano
02050,Central-Eastern,Urbano
02060,Central-Eastern,Urbano
02070,Central-Eastern,Urbano
02080,Central-Eastern,Urbano
02090,Central-Eastern,Urbano
02099,Central-Eastern,Urbano
02100,Central-Eastern,Urbano
02120,Central-Eastern,Urbano
02128,Central-Eastern,Urbano
02129,Central-Eastern,Urbano
02130,Central-Eastern,Urbano
02140,Central-Eastern,Urbano
02150,Central-Eastern,Urbano
02160,Central-Eastern,Urbano
02200,Central-Eastern,Urbano
02230,Central-Eastern,Urbano
02240,Central-Eastern,Urbano
02250,Central-Eastern,Urbano
02300,Central-Eastern,Urbano
02310,Central-Eastern,Urbano
02320,Central-Eastern,Urbano
02330,Central-Eastern,Urbano
02340,Central-Eastern,Urbano
02360,Central-Eastern,Urbano
02400,Central-Eastern,Urbano
02410,Central-Eastern,Urbano
02420,Central-Eastern,Urbano
02440,Central-Eastern,Urbano
02459,Central-Eastern,Urbano
02460,Central-Eastern,Urbano
02470,Central-Eastern,Urbano
02480,Central-Eastern,Urbano
02490,Central-Eastern,Urbano
