"Postal.code","Region","Rural.urban"
25627,"North","Town"
25630,"North","Town"
25620,"North","Town"
25632,"North","Town"
25626,"North","Town"
25628,"North","Town"
25629,"North","Town"
25631,"North","Town"
25618,"North","Town"
25460,"North","Town"
25467,"North","Town"
25466,"North","Town"
25468,"North","Town"
25557,"North","Town"
25556,"North","Town"
25560,"North","Town"
25559,"North","Town"
25561,"North","Town"
25490,"North","Town"
25499,"North","Town"
25509,"North","Town"
25491,"North","Town"
25517,"North","Town"
25504,"North","Town"
25474,"North","Town"
25475,"North","Town"
25503,"North","Town"
25501,"North","Town"
25489,"North","Town"
25493,"North","Town"
25473,"North","Town"
25502,"North","Town"
25495,"North","Town"
25507,"North","Town"
25494,"North","Town"
25497,"North","Town"
25551,"North","Town"
25506,"North","Town"
25516,"North","Town"
25472,"North","Town"
25498,"North","Town"
25527,"North","Town"
25518,"North","Town"
25514,"North","Town"
25476,"North","Town"
25505,"North","Town"
25500,"North","Town"
25528,"North","Town"
25513,"North","Town"
25508,"North","Town"
25530,"North","Town"
25515,"North","Town"
25496,"North","Town"
25512,"North","Town"
25511,"North","Town"
25510,"North","Town"
25529,"North","Town"
25526,"North","Town"
25488,"North","Town"
25531,"North","Town"
25465,"North","Town"
25622,"North","Town"
25624,"North","Town"
25623,"North","Town"
25625,"North","Town"
25609,"North","Town"
25621,"North","Town"
25539,"North","Town"
25540,"North","Town"
25543,"North","Town"
25541,"North","Town"
25463,"North","Town"
25464,"North","Town"
25462,"North","Town"
25538,"North","Town"
25537,"North","Town"
25535,"North","Town"
25617,"North","Town"
25604,"North","Town"
25602,"North","Town"
25601,"North","Town"
25585,"North","Town"
25603,"North","Town"
25595,"North","Town"
25597,"North","Town"
25596,"North","Town"
25612,"North","Town"
25587,"North","Town"
25588,"North","Town"
25592,"North","Town"
25594,"North","Town"
25584,"North","Town"
25611,"North","Town"
25589,"North","Town"
25590,"North","Town"
25610,"North","Town"
25586,"North","Town"
25605,"North","Town"
25591,"North","Town"
25593,"North","Town"
25607,"North","Town"
25452,"North","Town"
25453,"North","Town"
25451,"North","Town"
25440,"North","Town"
25575,"North","Town"
25573,"North","Town"
25534,"North","Town"
25608,"North","Town"
25606,"North","Town"
25574,"North","Town"
25437,"North","Town"
25439,"North","Town"
25436,"North","Town"
25438,"North","Town"
25435,"North","Town"
25441,"North","Town"
25459,"North","Town"
25434,"North","Town"
25542,"North","Town"
25544,"North","Town"
25555,"North","Town"
25533,"North","Town"
25448,"North","Town"
25450,"North","Town"
25445,"North","Town"
25449,"North","Town"
25521,"North","Town"
25442,"North","Town"
25446,"North","Town"
25443,"North","Town"
25444,"North","Town"
25447,"North","Town"
25562,"North","Town"
25558,"North","Town"
25469,"North","Town"
25563,"North","Town"
25613,"North","Town"
25461,"North","Town"
25428,"North","Town"
25431,"North","Town"
25429,"North","Town"
25400,"North","Town"
25432,"North","Town"
25430,"North","Town"
25433,"North","Town"
25427,"North","Town"
25426,"North","Town"
25633,"North","Town"
25638,"North","Town"
25646,"North","Town"
25635,"North","Town"
25637,"North","Town"
25645,"North","Town"
25634,"North","Town"
25636,"North","Town"
25550,"North","Town"
25549,"North","Town"
25553,"North","Town"
25554,"North","Town"
25552,"North","Town"
25644,"North","Town"
25642,"North","Town"
25639,"North","Town"
25640,"North","Town"
25643,"North","Town"
25641,"North","Town"
25614,"North","Town"
25619,"North","Town"
25458,"North","Town"
25456,"North","Town"
25457,"North","Town"
25532,"North","Town"
25615,"North","Town"
25580,"North","Town"
25576,"North","Town"
25577,"North","Town"
25578,"North","Town"
25616,"North","Town"
25583,"North","Town"
25581,"North","Town"
25582,"North","Town"
25579,"North","Town"
25416,"North","Town"
25421,"North","Town"
25422,"North","Town"
25414,"North","Town"
25424,"North","Town"
25423,"North","Town"
25417,"North","Town"
25420,"North","Town"
25415,"North","Town"
25425,"North","Town"
25419,"North","Town"
25418,"North","Town"
25413,"North","Town"
25405,"North","Town"
25401,"North","Town"
25402,"North","Town"
25412,"North","Town"
25410,"North","Town"
25411,"North","Town"
25407,"North","Town"
25408,"North","Town"
25406,"North","Town"
25404,"North","Town"
25409,"North","Town"
25403,"North","Town"
25454,"North","Town"
25455,"North","Town"
25470,"North","Town"
25471,"North","Town"
25572,"North","Town"
25568,"North","Town"
25545,"North","Town"
25478,"North","Town"
25565,"North","Town"
25481,"North","Town"
25571,"North","Town"
25564,"North","Town"
25487,"North","Town"
25492,"North","Town"
25480,"North","Town"
25485,"North","Town"
25570,"North","Town"
25477,"North","Town"
25546,"North","Town"
25486,"North","Town"
25547,"North","Town"
25548,"North","Town"
25566,"North","Town"
25484,"North","Town"
25569,"North","Town"
25483,"North","Town"
25567,"North","Town"
25479,"North","Town"
25482,"North","Town"
25536,"North","Town"
