"zip","region"
8000,"East"
8001,"East"
8002,"East"
8003,"East"
8004,"East"
8005,"East"
8006,"East"
8007,"East"
8008,"East"
8009,"East"
8010,"East"
8011,"East"
8012,"East"
8013,"East"
8014,"East"
8015,"East"
8016,"East"
8017,"East"
8018,"East"
8019,"East"
8020,"East"
8021,"East"
8022,"East"
8023,"East"
8024,"East"
8025,"East"
8026,"East"
8027,"East"
8028,"East"
8029,"East"
8030,"East"
8031,"East"
8032,"East"
8033,"East"
8034,"East"
8035,"East"
8036,"East"
8037,"East"
8038,"East"
8039,"East"
8040,"East"
8041,"East"
8042,"East"
8043,"East"
8044,"East"
8045,"East"
8046,"East"
8047,"East"
8048,"East"
8049,"East"
8050,"East"
8051,"East"
8052,"East"
8053,"East"
8054,"East"
8055,"East"
8056,"East"
8057,"East"
8058,"East"
8059,"East"
8060,"East"
8061,"East"
8062,"East"
8063,"East"
8064,"East"
8065,"East"
8066,"East"
8067,"East"
8068,"East"
8069,"East"
8070,"East"
8071,"East"
8072,"East"
8073,"East"
8074,"East"
8075,"East"
8076,"East"
8077,"East"
8078,"East"
8079,"East"
8080,"East"
8081,"East"
8082,"East"
8083,"East"
8084,"East"
8085,"East"
8086,"East"
8087,"East"
8088,"East"
8089,"East"
8090,"East"
8091,"East"
8092,"East"
8093,"East"
8094,"East"
8095,"East"
8096,"East"
8097,"East"
8098,"East"
8099,"East"
8100,"East"
8101,"East"
8102,"East"
8103,"East"
8104,"East"
8105,"East"
8106,"East"
8107,"East"
8108,"East"
8109,"East"
8110,"East"
8111,"East"
8112,"East"
8113,"East"
8114,"East"
8115,"East"
8116,"East"
8117,"East"
8118,"East"
8119,"East"
8120,"East"
8121,"East"
8122,"East"
8123,"East"
8124,"East"
8125,"East"
8126,"East"
8127,"East"
8128,"East"
8129,"East"
8130,"East"
8131,"East"
8132,"East"
8133,"East"
8134,"East"
8135,"East"
8136,"East"
8137,"East"
8138,"East"
8139,"East"
8140,"East"
8141,"East"
8142,"East"
8143,"East"
8144,"East"
8145,"East"
8146,"East"
8147,"East"
8148,"East"
8149,"East"
8150,"East"
8151,"East"
8152,"East"
8153,"East"
8154,"East"
8155,"East"
8156,"East"
8157,"East"
8158,"East"
8159,"East"
8160,"East"
8161,"East"
8162,"East"
8163,"East"
8164,"East"
8165,"East"
8166,"East"
8167,"East"
8168,"East"
8169,"East"
8170,"East"
8171,"East"
8172,"East"
8173,"East"
8174,"East"
8175,"East"
8176,"East"
8177,"East"
8178,"East"
8179,"East"
8180,"East"
8181,"East"
8182,"East"
8183,"East"
8184,"East"
8185,"East"
8186,"East"
8187,"East"
8188,"East"
8189,"East"
8190,"East"
8191,"East"
8192,"East"
8193,"East"
8194,"East"
8195,"East"
8196,"East"
8197,"East"
8198,"East"
8199,"East"
8200,"East"
8201,"East"
8202,"East"
8203,"East"
8204,"East"
8205,"East"
8206,"East"
8207,"East"
8208,"East"
8209,"East"
8210,"East"
8211,"East"
8212,"East"
8213,"East"
8214,"East"
8215,"East"
8216,"East"
8217,"East"
8218,"East"
8219,"East"
8220,"East"
8221,"East"
8222,"East"
8223,"East"
8224,"East"
8225,"East"
8226,"East"
8227,"East"
8228,"East"
8229,"East"
8230,"East"
8231,"East"
8232,"East"
8233,"East"
8234,"East"
8235,"East"
8236,"East"
8237,"East"
8238,"East"
8239,"East"
8240,"East"
8241,"East"
8242,"East"
8243,"East"
8244,"East"
8245,"East"
8246,"East"
8247,"East"
8248,"East"
8249,"East"
8250,"East"
8251,"East"
8252,"East"
8253,"East"
8254,"East"
8255,"East"
8256,"East"
8257,"East"
8258,"East"
8259,"East"
8260,"East"
8261,"East"
8262,"East"
8263,"East"
8264,"East"
8265,"East"
8266,"East"
8267,"East"
8268,"East"
8269,"East"
8270,"East"
8271,"East"
8272,"East"
8273,"East"
8274,"East"
8275,"East"
8276,"East"
8277,"East"
8278,"East"
8279,"East"
8280,"East"
8281,"East"
8282,"East"
8283,"East"
8284,"East"
8285,"East"
8286,"East"
8287,"East"
8288,"East"
8289,"East"
8290,"East"
8291,"East"
8292,"East"
8293,"East"
8294,"East"
8295,"East"
8296,"East"
8297,"East"
8298,"East"
8299,"East"
8300,"East"
8301,"East"
8302,"East"
8303,"East"
8304,"East"
8305,"East"
8306,"East"
8307,"East"
8308,"East"
8309,"East"
8310,"East"
8311,"East"
8312,"East"
8313,"East"
8314,"East"
8315,"East"
8316,"East"
8317,"East"
8318,"East"
8319,"East"
8320,"East"
8321,"East"
8322,"East"
8323,"East"
8324,"East"
8325,"East"
8326,"East"
8327,"East"
8328,"East"
8329,"East"
8330,"East"
8331,"East"
8332,"East"
8333,"East"
8334,"East"
8335,"East"
8336,"East"
8337,"East"
8338,"East"
8339,"East"
8340,"East"
8341,"East"
8342,"East"
8343,"East"
8344,"East"
8345,"East"
8346,"East"
8347,"East"
8348,"East"
8349,"East"
8350,"East"
8351,"East"
8352,"East"
8353,"East"
8354,"East"
8355,"East"
8356,"East"
8357,"East"
8358,"East"
8359,"East"
8360,"East"
8361,"East"
8362,"East"
8363,"East"
8364,"East"
8365,"East"
8366,"East"
8367,"East"
8368,"East"
8369,"East"
8370,"East"
8371,"East"
8372,"East"
8373,"East"
8374,"East"
8375,"East"
8376,"East"
8377,"East"
8378,"East"
8379,"East"
8380,"East"
8381,"East"
8382,"East"
8383,"East"
8384,"East"
8385,"East"
8386,"East"
8387,"East"
8388,"East"
8389,"East"
8390,"East"
8391,"East"
8392,"East"
8393,"East"
8394,"East"
8395,"East"
8396,"East"
8397,"East"
8398,"East"
8399,"East"
8400,"East"
8401,"East"
8402,"East"
8403,"East"
8404,"East"
8405,"East"
8406,"East"
8407,"East"
8408,"East"
8409,"East"
8410,"East"
8411,"East"
8412,"East"
8413,"East"
8414,"East"
8415,"East"
8416,"East"
8417,"East"
8418,"East"
8419,"East"
8420,"East"
8421,"East"
8422,"East"
8423,"East"
8424,"East"
8425,"East"
8426,"East"
8427,"East"
8428,"East"
8429,"East"
8430,"East"
8431,"East"
8432,"East"
8433,"East"
8434,"East"
8435,"East"
8436,"East"
8437,"East"
8438,"East"
8439,"East"
8440,"East"
8441,"East"
8442,"East"
8443,"East"
8444,"East"
8445,"East"
8446,"East"
8447,"East"
8448,"East"
8449,"East"
8450,"East"
8451,"East"
8452,"East"
8453,"East"
8454,"East"
8455,"East"
8456,"East"
8457,"East"
8458,"East"
8459,"East"
8460,"East"
8461,"East"
8462,"East"
8463,"East"
8464,"East"
8465,"East"
8466,"East"
8467,"East"
8468,"East"
8469,"East"
8470,"East"
8471,"East"
8472,"East"
8473,"East"
8474,"East"
8475,"East"
8476,"East"
8477,"East"
8478,"East"
8479,"East"
8480,"East"
8481,"East"
8482,"East"
8483,"East"
8484,"East"
8485,"East"
8486,"East"
8487,"East"
8488,"East"
8489,"East"
8490,"East"
8491,"East"
8492,"East"
8493,"East"
8494,"East"
8495,"East"
8496,"East"
8497,"East"
8498,"East"
8499,"East"
8500,"East"
8501,"East"
8502,"East"
8503,"East"
8504,"East"
8505,"East"
8506,"East"
8507,"East"
8508,"East"
8509,"East"
8510,"East"
8511,"East"
8512,"East"
8513,"East"
8514,"East"
8515,"East"
8516,"East"
8517,"East"
8518,"East"
8519,"East"
8520,"East"
8521,"East"
8522,"East"
8523,"East"
8524,"East"
8525,"East"
8526,"East"
8527,"East"
8528,"East"
8529,"East"
8530,"East"
8531,"East"
8532,"East"
8533,"East"
8534,"East"
8535,"East"
8536,"East"
8537,"East"
8538,"East"
8539,"East"
8540,"East"
8541,"East"
8542,"East"
8543,"East"
8544,"East"
8545,"East"
8546,"East"
8547,"East"
8548,"East"
8549,"East"
8550,"East"
8551,"East"
8552,"East"
8553,"East"
8554,"East"
8555,"East"
8556,"East"
8557,"East"
8558,"East"
8559,"East"
8560,"East"
8561,"East"
8562,"East"
8563,"East"
8564,"East"
8565,"East"
8566,"East"
8567,"East"
8568,"East"
8569,"East"
8570,"East"
8571,"East"
8572,"East"
8573,"East"
8574,"East"
8575,"East"
8576,"East"
8577,"East"
8578,"East"
8579,"East"
8580,"East"
8581,"East"
8582,"East"
8583,"East"
8584,"East"
8585,"East"
8586,"East"
8587,"East"
8588,"East"
8589,"East"
8590,"East"
8591,"East"
8592,"East"
8593,"East"
8594,"East"
8595,"East"
8596,"East"
8597,"East"
8598,"East"
8599,"East"
8600,"East"
8601,"East"
8602,"East"
8603,"East"
8604,"East"
8605,"East"
8606,"East"
8607,"East"
8608,"East"
8609,"East"
8610,"East"
8611,"East"
8612,"East"
8613,"East"
8614,"East"
8615,"East"
8616,"East"
8617,"East"
8618,"East"
8619,"East"
8620,"East"
8621,"East"
8622,"East"
8623,"East"
8624,"East"
8625,"East"
8626,"East"
8627,"East"
8628,"East"
8629,"East"
8630,"East"
8631,"East"
8632,"East"
8633,"East"
8634,"East"
8635,"East"
8636,"East"
8637,"East"
8638,"East"
8639,"East"
8640,"East"
8641,"East"
8642,"East"
8643,"East"
8644,"East"
8645,"East"
8646,"East"
8647,"East"
8648,"East"
8649,"East"
8650,"East"
8651,"East"
8652,"East"
8653,"East"
8654,"East"
8655,"East"
8656,"East"
8657,"East"
8658,"East"
8659,"East"
8660,"East"
8661,"East"
8662,"East"
8663,"East"
8664,"East"
8665,"East"
8666,"East"
8667,"East"
8668,"East"
8669,"East"
8670,"East"
8671,"East"
8672,"East"
8673,"East"
8674,"East"
8675,"East"
8676,"East"
8677,"East"
8678,"East"
8679,"East"
8680,"East"
8681,"East"
8682,"East"
8683,"East"
8684,"East"
8685,"East"
8686,"East"
8687,"East"
8688,"East"
8689,"East"
8690,"East"
8691,"East"
8692,"East"
8693,"East"
8694,"East"
8695,"East"
8696,"East"
8697,"East"
8698,"East"
8699,"East"
8700,"East"
8701,"East"
8702,"East"
8703,"East"
8704,"East"
8705,"East"
8706,"East"
8707,"East"
8708,"East"
8709,"East"
8710,"East"
8711,"East"
8712,"East"
8713,"East"
8714,"East"
8715,"East"
8716,"East"
8717,"East"
8718,"East"
8719,"East"
8720,"East"
8721,"East"
8722,"East"
8723,"East"
8724,"East"
8725,"East"
8726,"East"
8727,"East"
8728,"East"
8729,"East"
8730,"East"
8731,"East"
8732,"East"
8733,"East"
8734,"East"
8735,"East"
8736,"East"
8737,"East"
8738,"East"
8739,"East"
8740,"East"
8741,"East"
8742,"East"
8743,"East"
8744,"East"
8745,"East"
8746,"East"
8747,"East"
8748,"East"
8749,"East"
8750,"East"
8751,"East"
8752,"East"
8753,"East"
8754,"East"
8755,"East"
8756,"East"
8757,"East"
8758,"East"
8759,"East"
8760,"East"
8761,"East"
8762,"East"
8763,"East"
8764,"East"
8765,"East"
8766,"East"
8767,"East"
8768,"East"
8769,"East"
8770,"East"
8771,"East"
8772,"East"
8773,"East"
8774,"East"
8775,"East"
8776,"East"
8777,"East"
8778,"East"
8779,"East"
8780,"East"
8781,"East"
8782,"East"
8783,"East"
8784,"East"
8785,"East"
8786,"East"
8787,"East"
8788,"East"
8789,"East"
8790,"East"
8791,"East"
8792,"East"
8793,"East"
8794,"East"
8795,"East"
8796,"East"
8797,"East"
8798,"East"
8799,"East"
8800,"East"
8801,"East"
8802,"East"
8803,"East"
8804,"East"
8805,"East"
8806,"East"
8807,"East"
8808,"East"
8809,"East"
8810,"East"
8811,"East"
8812,"East"
8813,"East"
8814,"East"
8815,"East"
8816,"East"
8817,"East"
8818,"East"
8819,"East"
8820,"East"
8821,"East"
8822,"East"
8823,"East"
8824,"East"
8825,"East"
8826,"East"
8827,"East"
8828,"East"
8829,"East"
8830,"East"
8831,"East"
8832,"East"
8833,"East"
8834,"East"
8835,"East"
8836,"East"
8837,"East"
8838,"East"
8839,"East"
8840,"East"
8841,"East"
8842,"East"
8843,"East"
8844,"East"
