"Postal.Code","Region","Rural.urban"
"01720","Mediterranean","Urban"
"01722","Mediterranean","Urban"
"01922","Mediterranean","Urban"
"01920","Mediterranean","Urban"
"01924","Mediterranean","Urban"
"01360","Mediterranean","Urban"
"01170","Mediterranean","Urban"
"01780","Mediterranean","Urban"
"01662","Mediterranean","Urban"
"01660","Mediterranean","Urban"
"01700","Mediterranean","Urban"
"01702","Mediterranean","Urban"
"01770","Mediterranean","Urban"
"01900","Mediterranean","Urban"
"01555","Mediterranean","Urban"
"01502","Mediterranean","Urban"
"01500","Mediterranean","Urban"
"01490","Mediterranean","Urban"
"01472","Mediterranean","Urban"
"01470","Mediterranean","Urban"
"01740","Mediterranean","Urban"
"01410","Mediterranean","Urban"
"01460","Mediterranean","Urban"
"01340","Mediterranean","Urban"
"01790","Mediterranean","Urban"
"01250","Mediterranean","Urban"
"01040","Mediterranean","Urban"
"01130","Mediterranean","Urban"
"01080","Mediterranean","Urban"
"01190","Mediterranean","Urban"
"01120","Mediterranean","Urban"
"01050","Mediterranean","Urban"
"01200","Mediterranean","Urban"
"01365","Mediterranean","Urban"
"01020","Mediterranean","Urban"
"01355","Mediterranean","Urban"
"01060","Mediterranean","Urban"
"01430","Mediterranean","Urban"
"01160","Mediterranean","Urban"
"01070","Mediterranean","Urban"
"01030","Mediterranean","Urban"
"01100","Mediterranean","Urban"
"01010","Mediterranean","Urban"
"01180","Mediterranean","Urban"
"01110","Mediterranean","Urban"
"01150","Mediterranean","Urban"
"01140","Mediterranean","Urban"
"01642","Mediterranean","Urban"
"01640","Mediterranean","Urban"
"01682","Mediterranean","Urban"
"01680","Mediterranean","Urban"
"01358","Mediterranean","Urban"
"01415","Mediterranean","Urban"
"01285","Mediterranean","Urban"
"01370","Mediterranean","Urban"
"01375","Mediterranean","Urban"
"01965","Mediterranean","Urban"
"01260","Mediterranean","Urban"
"01280","Mediterranean","Urban"
"01230","Mediterranean","Urban"
"01263","Mediterranean","Urban"
"01240","Mediterranean","Urban"
"01350","Mediterranean","Urban"
"01291","Mediterranean","Urban"
"01220","Mediterranean","Urban"
"02300","Anatolia","Rural"
"02320","Anatolia","Rural"
"02346","Anatolia","Rural"
"02348","Anatolia","Rural"
"02302","Anatolia","Rural"
"02330","Anatolia","Rural"
"02340","Anatolia","Rural"
"02600","Anatolia","Rural"
"02602","Anatolia","Rural"
"02610","Anatolia","Rural"
"02700","Anatolia","Rural"
"02702","Anatolia","Rural"
"02530","Anatolia","Rural"
"02540","Anatolia","Rural"
"02500","Anatolia","Rural"
"02520","Anatolia","Rural"
"02502","Anatolia","Rural"
"02450","Anatolia","Rural"
"02440","Anatolia","Rural"
"02400","Anatolia","Rural"
"02402","Anatolia","Rural"
"02100","Anatolia","Urban"
"02200","Anatolia","Urban"
"02290","Anatolia","Urban"
"02010","Anatolia","Urban"
"02030","Anatolia","Urban"
"02270","Anatolia","Urban"
"02040","Anatolia","Urban"
"02802","Anatolia","Rural"
"02800","Anatolia","Rural"
"02920","Anatolia","Rural"
"02902","Anatolia","Rural"
"02900","Anatolia","Rural"
"02352","Anatolia","Rural"
"02350","Anatolia","Rural"
"03450","North-West","Rural"
"03452","North-West","Rural"
"03780","North-West","Rural"
"03782","North-West","Rural"
"03300","North-West","Rural"
"03330","North-West","Rural"
"03302","North-West","Rural"
"03350","North-West","Rural"
"03700","North-West","Rural"
"03720","North-West","Rural"
"03702","North-West","Rural"
"03706","North-West","Rural"
"03060","North-West","Rural"
"03107","North-West","Rural"
"03062","North-West","Rural"
"03950","North-West","Rural"
"03952","North-West","Rural"
"03400","North-West","Rural"
"03480","North-West","Rural"
"03402","North-West","Rural"
"03490","North-West","Rural"
"03630","North-West","Rural"
"03600","North-West","Rural"
"03680","North-West","Rural"
"03602","North-West","Rural"
"03960","North-West","Rural"
"03962","North-West","Rural"
"03530","North-West","Rural"
"03532","North-West","Rural"
"03380","North-West","Rural"
"03383","North-West","Rural"
"03370","North-West","Rural"
"03384","North-West","Rural"
"03372","North-West","Rural"
"03375","North-West","Rural"
"03750","North-West","Rural"
"03752","North-West","Rural"
"03754","North-West","Rural"
"03560","North-West","Rural"
"03562","North-West","Rural"
"03050","North-West","Urban"
"03217","North-West","Urban"
"03200","North-West","Urban"
"03210","North-West","Urban"
"03204","North-West","Urban"
"03103","North-West","Urban"
"03211","North-West","Urban"
"03040","North-West","Urban"
"03212","North-West","Urban"
"03213","North-West","Urban"
"03080","North-West","Urban"
"03100","North-West","Urban"
"03105","North-West","Urban"
"03032","North-West","Urban"
"03215","North-West","Urban"
"03150","North-West","Urban"
"03218","North-West","Urban"
"03140","North-West","Urban"
"03214","North-West","Urban"
"03030","North-West","Urban"
"03510","North-West","Rural"
"03502","North-West","Rural"
"03500","North-West","Rural"
"03860","North-West","Rural"
"03857","North-West","Rural"
"03870","North-West","Rural"
"03880","North-West","Rural"
"03858","North-West","Rural"
"03859","North-West","Rural"
"03854","North-West","Rural"
"03852","North-West","Rural"
"03855","North-West","Rural"
"03850","North-West","Rural"
"03121","North-West","Rural"
"03110","North-West","Rural"
"03830","North-West","Rural"
