"Postcode","Region","Rural.urban"
21001,"Center-West","Urban"
21002,"Center-West","Urban"
21003,"Center-West","Urban"
21004,"Center-West","Urban"
21005,"Center-West","Urban"
21008,"Center-West","Urban"
21009,"Center-West","Urban"
21010,"Center-West","Urban"
21011,"Center-West","Urban"
21012,"Center-West","Urban"
21014,"Center-West","Urban"
21016,"Center-West","Urban"
21017,"Center-West","Urban"
21018,"Center-West","Urban"
21019,"Center-West","Urban"
21020,"Center-West","Urban"
21021,"Center-West","Urban"
21022,"Center-West","Urban"
21023,"Center-West","Urban"
21027,"Center-West","Urban"
21028,"Center-West","Urban"
21029,"Center-West","Urban"
21030,"Center-West","Urban"
21031,"Center-West","Urban"
21032,"Center-West","Urban"
21034,"Center-West","Urban"
21036,"Center-West","Urban"
21037,"Center-West","Urban"
21050,"Center-West","Urban"
23310,"Center-West","Urban"
22700,"Center-West","Urban"
22500,"Center-West","Urban"
22800,"Center-West","Urban"
22200,"Center-West","Urban"
23227,"Center-West","Rural"
22261,"Center-West","Rural"
22255,"Center-West","Rural"
22354,"Center-West","Rural"
22714,"Center-West","Rural"
22224,"Center-West","Rural"
22350,"Center-West","Rural"
22814,"Center-West","Rural"
22653,"Center-West","Rural"
22361,"Center-West","Rural"
22614,"Center-West","Rural"
22626,"Center-West","Rural"
22808,"Center-West","Rural"
22562,"Center-West","Rural"
22266,"Center-West","Rural"
22520,"Center-West","Rural"
22215,"Center-West","Rural"
22547,"Center-West","Rural"
22310,"Center-West","Rural"
22352,"Center-West","Rural"
22813,"Center-West","Rural"
22543,"Center-West","Rural"
22656,"Center-West","Rural"
22832,"Center-West","Rural"
22708,"Center-West","Rural"
23363,"Center-West","Rural"
22233,"Center-West","Rural"
23233,"Center-West","Rural"
22523,"Center-West","Rural"
22333,"Center-West","Rural"
22338,"Center-West","Rural"
22627,"Center-West","Rural"
22807,"Center-West","Rural"
22248,"Center-West","Rural"
22226,"Center-West","Rural"
22221,"Center-West","Rural"
22727,"Center-West","Rural"
23303,"Center-West","Rural"
22251,"Center-West","Rural"
22524,"Center-West","Rural"
22845,"Center-West","Rural"
22630,"Center-West","Rural"
23243,"Center-West","Rural"
22334,"Center-West","Rural"
22522,"Center-West","Rural"
22617,"Center-West","Rural"
22561,"Center-West","Rural"
22249,"Center-West","Rural"
22367,"Center-West","Rural"
22217,"Center-West","Rural"
22553,"Center-West","Rural"
22506,"Center-West","Rural"
22355,"Center-West","Rural"
23219,"Center-West","Rural"
22818,"Center-West","Rural"
22855,"Center-West","Rural"
22810,"Center-West","Rural"
22711,"Center-West","Rural"
22844,"Center-West","Rural"
23323,"Center-West","Rural"
22728,"Center-West","Rural"
22339,"Center-West","Rural"
23202,"Center-West","Rural"
22546,"Center-West","Rural"
22894,"Center-West","Rural"
22815,"Center-West","Rural"
22891,"Center-West","Rural"
22646,"Center-West","Rural"
22365,"Center-West","Rural"
22216,"Center-West","Rural"
23232,"Center-West","Rural"
22351,"Center-West","Rural"
22556,"Center-West","Rural"
22347,"Center-West","Rural"
22823,"Center-West","Rural"
23315,"Center-West","Rural"
23327,"Center-West","Rural"
22343,"Center-West","Rural"
23203,"Center-West","Rural"
22826,"Center-West","Rural"
23361,"Center-West","Rural"
22836,"Center-West","Rural"
22715,"Center-West","Rural"
22716,"Center-West","Rural"
22363,"Center-West","Rural"
23140,"Center-West","Rural"
23305,"Center-West","Rural"
22232,"Center-West","Rural"
22645,"Center-West","Rural"
22657,"Center-West","Rural"
22236,"Center-West","Rural"
23331,"Center-West","Rural"
22254,"Center-West","Rural"
23217,"Center-West","Rural"
23348,"Center-West","Rural"
22816,"Center-West","Rural"
22805,"Center-West","Rural"
22341,"Center-West","Rural"
23245,"Center-West","Rural"
22730,"Center-West","Rural"
23350,"Center-West","Rural"
22623,"Center-West","Rural"
22721,"Center-West","Rural"
22565,"Center-West","Rural"
22227,"Center-West","Rural"
22619,"Center-West","Rural"
22356,"Center-West","Rural"
23307,"Center-West","Rural"
23223,"Center-West","Rural"
22643,"Center-West","Rural"
22850,"Center-West","Rural"
22235,"Center-West","Rural"
22859,"Center-West","Rural"
22525,"Center-West","Rural"
22521,"Center-West","Rural"
23250,"Center-West","Rural"
23326,"Center-West","Rural"
22218,"Center-West","Rural"
22554,"Center-West","Rural"
23351,"Center-West","Rural"
22332,"Center-West","Rural"
22712,"Center-West","Rural"
23231,"Center-West","Rural"
22366,"Center-West","Rural"
23349,"Center-West","Rural"
22817,"Center-West","Rural"
22738,"Center-West","Rural"
22628,"Center-West","Rural"
23335,"Center-West","Rural"
22327,"Center-West","Rural"
22609,"Center-West","Rural"
23339,"Center-West","Rural"
22357,"Center-West","Rural"
23359,"Center-West","Rural"
23328,"Center-West","Rural"
22519,"Center-West","Rural"
22830,"Center-West","Rural"
22611,"Center-West","Rural"
22824,"Center-West","Rural"
22530,"Center-West","Rural"
23306,"Center-West","Rural"
23251,"Center-West","Rural"
22527,"Center-West","Rural"
23259,"Center-West","Rural"
22837,"Center-West","Rural"
22537,"Center-West","Rural"
22538,"Center-West","Rural"
22510,"Center-West","Rural"
22539,"Center-West","Rural"
22644,"Center-West","Rural"
23342,"Center-West","Rural"
22722,"Center-West","Rural"
23343,"Center-West","Rural"
22834,"Center-West","Rural"
23364,"Center-West","Rural"
22229,"Center-West","Rural"
23220,"Center-West","Rural"
22820,"Center-West","Rural"
22265,"Center-West","Rural"
22346,"Center-West","Rural"
23308,"Center-West","Rural"
22231,"Center-West","Rural"
22340,"Center-West","Rural"
23215,"Center-West","Rural"
23318,"Center-West","Rural"
22243,"Center-West","Rural"
22723,"Center-West","Rural"
23221,"Center-West","Rural"
23264,"Center-West","Rural"
22658,"Center-West","Rural"
22342,"Center-West","Rural"
22345,"Center-West","Rural"
22213,"Center-West","Rural"
22533,"Center-West","Rural"
22632,"Center-West","Rural"
22729,"Center-West","Rural"
22896,"Center-West","Rural"
23234,"Center-West","Rural"
22364,"Center-West","Rural"
22534,"Center-West","Rural"
22608,"Center-West","Rural"
23224,"Center-West","Rural"
23309,"Center-West","Rural"
23258,"Center-West","Rural"
22841,"Center-West","Rural"
22629,"Center-West","Rural"
22360,"Center-West","Rural"
22225,"Center-West","Rural"
23242,"Center-West","Rural"
23333,"Center-West","Rural"
22886,"Center-West","Rural"
22838,"Center-West","Rural"
23263,"Center-West","Rural"
23324,"Center-West","Rural"
22822,"Center-West","Rural"
23226,"Center-West","Rural"
23216,"Center-West","Rural"
22631,"Center-West","Rural"
22839,"Center-West","Rural"
22636,"Center-West","Rural"
22331,"Center-West","Rural"
22353,"Center-West","Rural"
23204,"Center-West","Rural"
23213,"Center-West","Rural"
23141,"Center-West","Rural"
22806,"Center-West","Rural"
22246,"Center-West","Rural"
22220,"Center-West","Rural"
22840,"Center-West","Rural"
22245,"Center-West","Rural"
22541,"Center-West","Rural"
22535,"Center-West","Rural"
23225,"Center-West","Rural"
22709,"Center-West","Rural"
22821,"Center-West","Rural"
22877,"Center-West","Rural"
22512,"Center-West","Rural"
22508,"Center-West","Rural"
23341,"Center-West","Rural"
22620,"Center-West","Rural"
22335,"Center-West","Rural"
22223,"Center-West","Rural"
22811,"Center-West","Rural"
22238,"Center-West","Rural"
22228,"Center-West","Rural"
22879,"Center-West","Rural"
22529,"Center-West","Rural"
23246,"Center-West","Rural"
22889,"Center-West","Rural"
23244,"Center-West","Rural"
23354,"Center-West","Rural"
22633,"Center-West","Rural"
22647,"Center-West","Rural"
22244,"Center-West","Rural"
22624,"Center-West","Rural"
22330,"Center-West","Rural"
22853,"Center-West","Rural"
22253,"Center-West","Rural"
22610,"Center-West","Rural"
22260,"Center-West","Rural"
22713,"Center-West","Rural"
22256,"Center-West","Rural"
22726,"Center-West","Rural"
23208,"Center-West","Rural"
22725,"Center-West","Rural"
22209,"Center-West","Rural"
22336,"Center-West","Rural"
22549,"Center-West","Rural"
23214,"Center-West","Rural"
22854,"Center-West","Rural"
22362,"Center-West","Rural"
22507,"Center-West","Rural"
23330,"Center-West","Rural"
23356,"Center-West","Rural"
23205,"Center-West","Rural"
22655,"Center-West","Rural"
22337,"Center-West","Rural"
22555,"Center-West","Rural"
22252,"Center-West","Rural"
