"Postcode","Rural.urban"
21001,"Urban"
21002,"Urban"
21003,"Urban"
21004,"Urban"
21005,"Urban"
21008,"Urban"
21009,"Urban"
21010,"Urban"
21011,"Urban"
21012,"Urban"
21014,"Urban"
21016,"Urban"
21017,"Urban"
21018,"Urban"
21019,"Urban"
21020,"Urban"
21021,"Urban"
21022,"Urban"
21023,"Urban"
21027,"Urban"
21028,"Urban"
21029,"Urban"
21030,"Urban"
21031,"Urban"
21032,"Urban"
21034,"Urban"
21036,"Urban"
21037,"Urban"
21050,"Urban"
23310,"Urban"
22700,"Urban"
22500,"Urban"
22800,"Urban"
22200,"Urban"
23227,"Rural"
22261,"Rural"
22255,"Rural"
22354,"Rural"
22714,"Rural"
22224,"Rural"
22350,"Rural"
22814,"Rural"
22653,"Rural"
22361,"Rural"
22614,"Rural"
22626,"Rural"
22808,"Rural"
22562,"Rural"
22266,"Rural"
22520,"Rural"
22215,"Rural"
22547,"Rural"
22310,"Rural"
22352,"Rural"
22813,"Rural"
22543,"Rural"
22656,"Rural"
22832,"Rural"
22708,"Rural"
23363,"Rural"
22233,"Rural"
23233,"Rural"
22523,"Rural"
22333,"Rural"
22338,"Rural"
22627,"Rural"
22807,"Rural"
22248,"Rural"
22226,"Rural"
22221,"Rural"
22727,"Rural"
23303,"Rural"
22251,"Rural"
22524,"Rural"
22845,"Rural"
22630,"Rural"
23243,"Rural"
22334,"Rural"
22522,"Rural"
22617,"Rural"
22561,"Rural"
22249,"Rural"
22367,"Rural"
22217,"Rural"
22553,"Rural"
22506,"Rural"
22355,"Rural"
23219,"Rural"
22818,"Rural"
22855,"Rural"
22810,"Rural"
22711,"Rural"
22844,"Rural"
23323,"Rural"
22728,"Rural"
22339,"Rural"
23202,"Rural"
22546,"Rural"
22894,"Rural"
22815,"Rural"
22891,"Rural"
22646,"Rural"
22365,"Rural"
22216,"Rural"
23232,"Rural"
22351,"Rural"
22556,"Rural"
22347,"Rural"
22823,"Rural"
23315,"Rural"
23327,"Rural"
22343,"Rural"
23203,"Rural"
22826,"Rural"
23361,"Rural"
22836,"Rural"
22715,"Rural"
22716,"Rural"
22363,"Rural"
23140,"Rural"
23305,"Rural"
22232,"Rural"
22645,"Rural"
22657,"Rural"
22236,"Rural"
23331,"Rural"
22254,"Rural"
23217,"Rural"
23348,"Rural"
22816,"Rural"
22805,"Rural"
22341,"Rural"
23245,"Rural"
22730,"Rural"
23350,"Rural"
22623,"Rural"
22721,"Rural"
22565,"Rural"
22227,"Rural"
22619,"Rural"
22356,"Rural"
23307,"Rural"
23223,"Rural"
22643,"Rural"
22850,"Rural"
22235,"Rural"
22859,"Rural"
22525,"Rural"
22521,"Rural"
23250,"Rural"
23326,"Rural"
22218,"Rural"
22554,"Rural"
23351,"Rural"
22332,"Rural"
22712,"Rural"
23231,"Rural"
22366,"Rural"
23349,"Rural"
22817,"Rural"
22738,"Rural"
22628,"Rural"
23335,"Rural"
22327,"Rural"
22609,"Rural"
23339,"Rural"
22357,"Rural"
23359,"Rural"
23328,"Rural"
22519,"Rural"
22830,"Rural"
22611,"Rural"
22824,"Rural"
22530,"Rural"
23306,"Rural"
23251,"Rural"
22527,"Rural"
23259,"Rural"
22837,"Rural"
22537,"Rural"
22538,"Rural"
22510,"Rural"
22539,"Rural"
22644,"Rural"
23342,"Rural"
22722,"Rural"
23343,"Rural"
22834,"Rural"
23364,"Rural"
22229,"Rural"
23220,"Rural"
22820,"Rural"
22265,"Rural"
22346,"Rural"
23308,"Rural"
22231,"Rural"
22340,"Rural"
23215,"Rural"
23318,"Rural"
22243,"Rural"
22723,"Rural"
23221,"Rural"
23264,"Rural"
22658,"Rural"
22342,"Rural"
22345,"Rural"
22213,"Rural"
22533,"Rural"
22632,"Rural"
22729,"Rural"
22896,"Rural"
23234,"Rural"
22364,"Rural"
22534,"Rural"
22608,"Rural"
23224,"Rural"
23309,"Rural"
23258,"Rural"
22841,"Rural"
22629,"Rural"
22360,"Rural"
22225,"Rural"
23242,"Rural"
23333,"Rural"
22886,"Rural"
22838,"Rural"
23263,"Rural"
23324,"Rural"
22822,"Rural"
23226,"Rural"
23216,"Rural"
22631,"Rural"
22839,"Rural"
22636,"Rural"
22331,"Rural"
22353,"Rural"
23204,"Rural"
23213,"Rural"
23141,"Rural"
22806,"Rural"
22246,"Rural"
22220,"Rural"
22840,"Rural"
22245,"Rural"
22541,"Rural"
22535,"Rural"
23225,"Rural"
22709,"Rural"
22821,"Rural"
22877,"Rural"
22512,"Rural"
22508,"Rural"
23341,"Rural"
22620,"Rural"
22335,"Rural"
22223,"Rural"
22811,"Rural"
22238,"Rural"
22228,"Rural"
22879,"Rural"
22529,"Rural"
23246,"Rural"
22889,"Rural"
23244,"Rural"
23354,"Rural"
22633,"Rural"
22647,"Rural"
22244,"Rural"
22624,"Rural"
22330,"Rural"
22853,"Rural"
22253,"Rural"
22610,"Rural"
22260,"Rural"
22713,"Rural"
22256,"Rural"
22726,"Rural"
23208,"Rural"
22725,"Rural"
22209,"Rural"
22336,"Rural"
22549,"Rural"
23214,"Rural"
22854,"Rural"
22362,"Rural"
22507,"Rural"
23330,"Rural"
23356,"Rural"
23205,"Rural"
22655,"Rural"
22337,"Rural"
22555,"Rural"
22252,"Rural"
23256,"Rural"
22833,"Rural"
22551,"Rural"
22237,"Rural"
22829,"Rural"
23142,"Rural"
23336,"Rural"
22621,"Rural"
22515,"Rural"
23235,"Rural"
23262,"Rural"
22739,"Rural"
23352,"Rural"
23146,"Rural"
23239,"Rural"
22370,"Rural"
22650,"Rural"
22263,"Rural"
22717,"Rural"
22542,"Rural"
22831,"Rural"
22651,"Rural"
22308,"Rural"
22828,"Rural"
22230,"Rural"
22211,"Rural"
22893,"Rural"
22307,"Rural"
23316,"Rural"
22514,"Rural"
22641,"Rural"
22616,"Rural"
22637,"Rural"
22234,"Rural"
22545,"Rural"
22615,"Rural"
22540,"Rural"
22718,"Rural"
23229,"Rural"
22219,"Rural"
22222,"Rural"
22516,"Rural"
23207,"Rural"
22846,"Rural"
23319,"Rural"
22358,"Rural"
22634,"Rural"
22247,"Rural"
22731,"Rural"
22835,"Rural"
22344,"Rural"
22267,"Rural"
23218,"Rural"
22250,"Rural"
22812,"Rural"
23241,"Rural"
22214,"Rural"
22511,"Rural"
