"outcode","Urbanity.outcode","Region.outcode"
"AB1","Rural","Northern UK"
"AB10","Large_urban","Northern UK"
"AB11","Large_urban","Northern UK"
"AB12","Large_urban","Northern UK"
"AB13","Rural","Northern UK"
"AB14","Rural","Northern UK"
"AB15","Large_urban","Northern UK"
"AB16","Large_urban","Northern UK"
"AB2","Rural","Northern UK"
"AB21","Large_urban","Northern UK"
"AB22","Large_urban","Northern UK"
"AB23","Large_urban","Northern UK"
"AB24","Large_urban","Northern UK"
"AB25","Large_urban","Northern UK"
"AB3","Rural","Northern UK"
"AB30","Rural","Northern UK"
"AB31","Rural","Northern UK"
"AB32","Large_urban","Northern UK"
"AB33","Rural","Northern UK"
"AB34","Rural","Northern UK"
"AB35","Rural","Northern UK"
"AB36","Rural","Northern UK"
"AB37","Rural","Northern UK"
"AB38","Rural","Northern UK"
"AB39","Large_urban","Northern UK"
"AB4","Rural","Northern UK"
"AB41","Rural","Northern UK"
"AB42","Large_urban","Northern UK"
"AB43","Large_urban","Northern UK"
"AB44","Rural","Northern UK"
"AB45","Rural","Northern UK"
"AB5","Rural","Northern UK"
"AB51","Rural","Northern UK"
"AB52","Rural","Northern UK"
"AB53","Rural","Northern UK"
"AB54","Rural","Northern UK"
"AB55","Rural","Northern UK"
"AB56","Rural","Northern UK"
"AB9","Rural","Northern UK"
"AB99","Rural","Northern UK"
"AL1","City_Town","Southern England"
"AL10","City_Town","Southern England"
"AL2","City_Town","Southern England"
"AL3","City_Town","Southern England"
"AL4","City_Town","Southern England"
"AL5","City_Town","Southern England"
"AL6","City_Town","Southern England"
"AL7","City_Town","Southern England"
"AL8","City_Town","Southern England"
"AL9","Rural","Southern England"
"B1","Large_urban","Central UK"
"B10","Large_urban","Central UK"
"B11","Large_urban","Central UK"
"B12","Large_urban","Central UK"
"B13","Large_urban","Central UK"
"B14","Large_urban","Central UK"
"B15","Large_urban","Central UK"
"B16","Large_urban","Central UK"
"B17","Large_urban","Central UK"
"B18","Large_urban","Central UK"
"B19","Large_urban","Central UK"
"B2","Large_urban","Central UK"
"B20","Large_urban","Central UK"
"B21","Large_urban","Central UK"
"B22","Large_urban","Central UK"
"B23","Large_urban","Central UK"
"B24","Large_urban","Central UK"
"B25","Large_urban","Central UK"
"B26","Large_urban","Central UK"
"B27","Large_urban","Central UK"
"B28","Large_urban","Central UK"
"B29","Large_urban","Central UK"
"B3","Large_urban","Central UK"
"B30","Large_urban","Central UK"
